,shock,investment,durable_stock,y_list
898,0,0.09138219058513641,4.59409236907959,1.2404725888153787
899,0,0.09438453614711761,4.523685932159424,1.2341665469860377
900,0,0.09708236157894135,4.459224700927734,1.2283350692164594
901,1,0.09944146871566772,4.4001054763793945,2.03822832106807
902,1,0.2758466303348541,4.426785469055176,2.042298460582667
903,0,0.26589205116033554,4.813075065612793,1.2596814469720128
904,0,0.07680746912956238,4.955491542816162,1.2718616938376788
905,0,0.0806993842124939,4.8549604415893555,1.2632885007724814
906,0,0.08436200022697449,4.76270866394043,1.255316070883582
907,0,0.08783331513404846,4.678101062774658,1.2479127769403628
908,0,0.09110541641712189,4.600585460662842,1.2410508811065961
909,0,0.09413212537765503,4.529628276824951,1.2347013108905802
910,0,0.09685847163200378,4.464668273925781,1.2288296963824645
911,0,0.09924797713756561,4.405104160308838,1.223395287941649
912,0,0.10129311680793762,4.3503193855285645,1.2183532901078722
913,0,0.10301147401332855,4.299717426300049,1.2136583141354536
914,0,0.10443602502346039,4.252749443054199,1.209267263784371
915,0,0.10560567677021027,4.208930492401123,1.2051412228962972
916,0,0.1065591424703598,4.167842864990234,1.2012461384301953
917,0,0.10733173787593842,4.1291327476501465,1.1975528325626752
918,0,0.10795395076274872,4.092503070831299,1.1940365968781381
919,0,0.10845151543617249,4.057703971862793,1.1906765000995332
920,0,0.10884572565555573,4.024526596069336,1.1874549657294238
921,1,0.10915414988994598,3.992794990539551,1.9739285428962745
922,1,0.2806776165962219,4.048545837402344,1.9829816849898725
923,1,0.2755456231534481,4.443182468414307,2.044791739891622
924,1,0.26536070834845304,4.828888416290283,2.101742852289422
925,1,0.2525997320190072,5.193452835083008,2.1528340626934646
926,1,0.2442237874493003,5.529520034790039,2.1978440168397864
927,1,0.2397981295362115,5.845105171203613,2.238471048987222
928,1,0.236878527328372,6.148082256317139,2.2761144917866094
929,1,0.23424884863197803,6.441321849822998,2.3113821920802473
930,1,0.2314535342156887,6.725107669830322,2.3445028381644146
931,0,0.22840624675154686,6.998746871948242,1.4253383090617848
932,0,0.021364465355873108,7.044353008270264,1.4283966735045892
933,0,0.02908039093017578,6.793095588684082,1.4113788753712906
