,k_agg,shock_agg
0,28.986341933866367,0
1,57.37459639090574,0
2,85.18947634731896,0
3,112.45478763438072,0
4,139.19345968972877,0
5,165.42757506983716,0
6,191.17839631412937,0
7,216.46639368433728,0
8,241.31127177170947,0
9,265.7319943738407,0
10,289.7468092877702,0
11,313.37460038296587,0
12,336.62995322666677,0
13,359.5272205773957,0
14,382.08049835789984,0
15,404.30360432590265,0
16,426.2100579656878,0
17,447.8130627948212,0
18,469.1254904120268,0
19,490.1598677217849,1
20,510.9283665683149,1
21,531.5981234307588,1
22,552.1742321521882,1
23,572.6616214981377,1
24,593.0650464974537,1
25,613.3890829763561,1
26,633.6381229520903,1
27,653.8163727978178,1
28,673.9278528281559,1
29,693.9763981669815,1
30,713.9656618026228,1
31,733.8947554053125,1
32,753.7654973988106,1
33,773.5799447058928,1
34,793.3403313908852,1
35,813.0490175230581,1
36,832.7084460930773,1
37,852.3211072876645,1
38,871.8895081558735,1
39,891.4161466396956,0
40,910.9034910905539,0
41,930.1958867569953,0
42,949.3021324786362,0
43,968.2307882599582,0
44,986.9901628492007,0
45,1005.5883044355223,0
46,1024.0329942686774,0
47,1042.331743035481,0
48,1060.4917878908311,0
49,1078.5200926723,0
50,1096.423349195304,0
51,1114.207155297158,0
52,1131.8767488365497,0
53,1149.4373234122795,0
54,1166.8940001591973,0
55,1184.2518036838528,0
56,1201.515643363901,0
57,1218.6902979100803,0
58,1235.7804031034323,0
59,1252.7904432711684,1
60,1269.7247447403142,1
61,1286.7466184964771,1
62,1303.8515408730914,1
63,1321.0354078393482,1
64,1338.2944797906168,1
65,1355.6253333935038,1
66,1373.024820775789,1
67,1390.4900341432417,1
68,1408.018275022971,1
69,1425.6070278981306,1
70,1443.2539368730154,1
71,1460.9528088052284,1
72,1478.7007205330297,1
73,1496.4951190037282,1
74,1514.3337643394414,1
75,1532.214682188932,1
76,1550.1361220584008,1
77,1568.096521208395,1
78,1586.0944748028342,1
79,1604.1287094856316,0
80,1622.198061270463,0
81,1640.139996372125,0
82,1657.9601094739405,0
83,1675.663935159268,0
84,1693.2569207086926,0
85,1710.7444029861824,0
86,1728.1315902654082,0
87,1745.4235470805968,0
88,1762.6251838676376,0
89,1779.7412476152726,0
90,1796.776316585001,0
91,1813.7338519450861,0
92,1830.617276400844,0
93,1847.4300353073222,0
94,1864.1755657292615,0
95,1880.8572705510846,0
96,1897.478497278538,0
97,1914.0425208052088,0
98,1930.5525303748245,0
99,1947.0116189586574,1
100,1963.4227753147293,1
101,1979.9484042398062,1
102,1996.582477179789,1
103,2013.319485516549,1
104,2030.1543758612252,1
105,2047.0824955038488,1
106,2064.0995437450765,1
107,2081.201530503601,1
108,2098.3847403846275,1
109,2115.6457013202607,1
110,2132.9811574094374,1
111,2150.3841030434724,1
112,2167.8508772866626,1
113,2185.378220117099,1
114,2202.963215818593,1
115,2220.6032429794245,1
116,2238.2959315287835,1
117,2256.0391266388706,1
118,2273.830858128511,1
119,2291.6693120305504,0
120,2309.552808442304,0
121,2327.3178845246657,0
122,2344.9697049501247,0
123,2362.513397800156,0
124,2379.954024939505,0
125,2397.2965579811107,0
126,2414.5458581404373,0
127,2431.7066603558214,0
128,2448.7835605861337,0
129,2465.7810069780917,0
130,2482.7032922798508,0
131,2499.5535840963357,0
132,2516.335052425201,0
133,2533.050900903977,0
134,2549.704335014596,0
135,2566.298535849831,0
136,2582.8366383950433,0
137,2599.321714275466,0
138,2615.7567576952633,0
139,2632.1446750769014,1
140,2648.488276063843,1
141,2664.949850522167,1
142,2681.5231735193347,1
143,2698.2025531189943,1
144,2714.982764584486,1
145,2731.8589944757223,1
146,2748.826791507551,1
147,2765.8820240905193,1
148,2783.0208438275567,1
149,2800.2396535764324,1
150,2817.5350796940006,1
151,2834.900004091992,1
152,2852.3306673803395,1
153,2869.8237161090974,1
154,2887.376144916406,1
155,2904.9852472217012,1
156,2922.6485718784606,1
157,2940.3638870118875,1
158,2958.129148185878,1
159,2975.94247147898,0
160,2993.8021102936186,0
161,3011.5444837109912,0
162,3029.1747019416266,0
163,3046.6978413908573,0
164,3064.11891483766,0
165,3081.442847397314,0
166,3098.674455980422,0
167,3115.8184331424754,0
168,3132.8793348627123,0
169,3149.8615705702937,0
170,3166.7693964494415,0
171,3183.6059415461636,0
172,3200.374343006026,0
173,3217.077773041069,0
174,3233.7194066901848,0
175,3250.3023961953622,0
176,3266.8298489955655,0
177,3283.304810435073,0
178,3299.730249543645,0
179,3316.1090483481103,1
180,3332.4439935245127,1
181,3348.897360981412,1
182,3365.4629011648135,1
183,3382.1348986249013,1
184,3398.9081065771406,1
185,3415.777690676227,1
186,3432.7391804281206,1
187,3449.7884262598277,1
188,3466.921562665479,1
189,3484.1349767673937,1
190,3501.4252798465213,1
191,3518.7853386818706,1
192,3536.211381051423,1
193,3553.7000413046258,1
194,3571.248302748081,1
195,3588.853447906496,1
196,3606.5130149093175,1
197,3624.2247621311717,1
198,3641.9866356148104,1
199,3659.7967426056875,0
200,3677.653327735138,0
201,3695.392795213298,0
202,3713.0202483407807,0
203,3730.5407567329867,0
204,3747.9593270501787,0
205,3765.2808786898736,0
206,3782.5102227014886,0
207,3799.6520463243723,0
208,3816.710900149702,0
209,3833.691188814496,0
210,3850.597164012337,0
211,3867.431949630287,0
212,3884.1986785008457,0
213,3900.9005188188953,0
214,3917.5406419884894,0
215,3934.1221965977447,0
216,3950.6482863764904,0
217,3967.1219531613747,0
218,3983.546162867545,0
219,3999.923794283918,1
220,4016.257631322679,1
221,4032.7099480645666,1
222,4049.274491658961,1
223,4065.9455436037506,1
224,4082.717854592621,1
225,4099.5865880253605,1
226,4116.547270652947,1
227,4133.595750460601,1
228,4150.728159645677,1
229,4167.940883307397,1
230,4185.230530761674,1
231,4202.589966728969,1
232,4220.015417295659,1
233,4237.503515665867,1
234,4255.051243674956,1
235,4272.6558821562085,1
236,4290.314968185199,1
237,4308.026258460153,1
238,4325.787697938613,1
239,4343.597392600486,0
240,4361.4535862122575,0
241,4379.192680844259,0
242,4396.819778995223,0
243,4414.339949756652,0
244,4431.758198910147,0
245,4449.079444953879,0
246,4466.308498371214,0
247,4483.4500456114565,0
248,4500.508636844073,0
249,4517.4886761119005,0
250,4534.394414211801,0
251,4551.228974583631,0
252,4567.995489761117,0
253,4584.6971271129205,0
254,4601.337057540131,0
255,4617.91842899944,0
256,4634.444344612338,0
257,4650.917846014643,0
258,4667.341898689306,0
259,4683.719381127801,1
260,4700.053076691613,1
261,4716.505259397837,1
262,4733.069675857644,1
263,4749.74060721585,1
264,4766.512803648004,1
265,4783.3814283663505,1
266,4800.342007620353,1
267,4817.390389226484,1
268,4834.522705537589,1
269,4851.735340875689,1
270,4869.024904698174,1
271,4886.384261264574,1
272,4903.809636672968,1
273,4921.297663520008,1
274,4938.845323555173,1
275,4956.449897285816,1
276,4974.108922040281,1
277,4991.820154256624,1
278,5009.581538606952,1
279,5027.391180828201,0
280,5045.247324563759,0
281,5062.986371767632,0
282,5080.613424850217,0
283,5098.133552968717,0
284,5115.551761666195,0
285,5132.872969210931,0
286,5150.1019860151155,0
287,5167.243498581767,0
288,5184.302056616246,0
289,5201.282064378699,0
290,5218.187772334889,0
291,5235.022303997385,0
292,5251.7887914587045,0
293,5268.490402346702,0
294,5285.1303073717445,0
295,5301.711654573378,0
296,5318.23754727177,0
297,5334.7110269620825,0
298,5351.135058938302,0
299,5367.512521802027,1
300,5383.846198874918,1
301,5400.298364181526,1
302,5416.862764443358,1
303,5433.533680596095,1
304,5450.305862610619,1
305,5467.1744733880605,1
306,5484.135039481248,1
307,5501.183408506227,1
308,5518.315712830334,1
309,5535.528337043837,1
310,5552.817890111859,1
311,5570.177236430433,1
312,5587.602601934384,1
313,5605.090619386958,1
314,5622.63827048981,1
315,5640.242836092619,1
316,5657.901852992739,1
317,5675.6130779120995,1
318,5693.37445553748,1
