,shock_0,shock_1,investment,k_0,k_1,y_0
0,1,0,0.07537188414755139,13.640631498290055,15.345710435576311,2.628037687980032
1,1,0,0.07548663119301395,13.58611211945886,15.398157838852256,2.6248821184718776
2,1,0,0.07559700776532964,13.534646244813622,15.448346244442261,2.621895141425523
3,1,0,0.07570318943510361,13.486069756377056,15.496384554627705,2.6190685561267837
4,1,0,0.07580537812350814,13.440228708080564,15.542374674737683,2.6163945978334016
5,1,0,0.07590367186457,13.396979151046246,15.586411767881318,2.6138659447295085
6,1,0,0.07599811805341526,13.356184495824973,15.62858597676213,2.6114755789503508
7,1,0,0.07608895959976061,13.317715383022971,15.668982074820034,2.6092167919187346
8,1,0,0.07617629902541502,13.281450046435406,15.707680525018782,2.607083217659544
9,0,1,0.0762601056034285,13.247272867418888,15.744757732797087,2.6050687587492387
10,0,1,0.08656537802698754,13.215073288288927,15.780286038314813,1.7354450211518
11,0,1,0.08709387871311579,12.99783357055318,16.08333019810817,1.7268367338009574
12,0,1,0.08764585203695568,12.79385983483082,16.37446277147876,1.7186619556454854
13,0,1,0.08820879417516425,12.602116504126183,16.654774189482495,1.7108937274209461
14,0,1,0.08877749540773384,12.421726251508677,16.9251115266073,1.7035095524326747
15,0,1,0.08934918824010787,12.251945767508307,17.186157272511178,1.6964907917724905
16,0,1,0.08992106710404746,12.092123112646043,17.43848985710618,1.6898212027428703
17,0,1,0.09049021888112412,11.941661630663155,17.68261942318269,1.683485636549573
18,0,1,0.09105340039629327,11.800000978996119,17.919006141661384,1.6774693744192366
19,1,0,0.09160686781236077,11.666604888205537,18.148070343436764,1.6717577067635716
20,1,0,0.08244331802132533,11.5409556073664,18.370194918583618,2.4995036610131423
21,1,0,0.08221947776761859,11.61268669742586,18.308670714199945,2.5041541458352374
22,1,0,0.0820073230301993,11.680723295666997,18.2491651251831,2.508546563952368
23,1,0,0.08180604759015891,11.74523821396733,18.19162768757054,2.5126951118139846
24,1,0,0.08161497446289817,11.806395976336884,18.136007698722715,2.5166130802480393
25,1,0,0.08143346700361122,11.864352742400905,18.082255386992195,2.5203128931434193
26,1,0,0.08126111039659178,11.919258642828545,18.030319993745042,2.523806294743932
27,1,0,0.08109735678464122,11.97125649171743,17.980152826228753,2.52710430060698
28,1,0,0.08094172586226514,12.020483501212912,17.931704635818548,2.5302173362380755
29,0,1,0.08079390154885498,12.06707050906981,17.88492700941221,2.5331552141688007
30,0,1,0.09035138000040377,12.111143943338547,17.839771724476954,1.690618187429323
31,0,1,0.09091255413643899,11.96268448518031,18.070983083352314,1.6843742035539226
32,0,1,0.09146524019598634,11.822769481458723,18.29498771061526,1.6784397396004012
33,0,1,0.09200584074626951,11.690875914154775,18.51216869622161,1.672800317675346
34,0,1,0.09253147003645129,11.566498204445212,18.722874393708743,1.667441305024008
35,0,1,0.0930401343992737,11.449151627503174,18.927420509978482,1.66234812960562
36,0,1,0.0935310525134157,11.338374711665875,19.126094240329653,1.6575064559259733
37,0,1,0.0940042528721124,11.233732982381678,19.319159017991065,1.652902421966082
38,0,1,0.09446005633506988,11.134819723167658,19.506859079193156,1.6485227466508023
39,1,0,0.09489882933981722,11.041255111639027,19.689421837052365,1.6443547619529317
40,1,0,0.08569544004320388,10.952685871928452,19.867057977653392,2.460579694075348
41,1,0,0.08527921782420556,11.061768693393391,19.756330427666203,2.467906023192197
42,1,0,0.08489264641112051,11.165125680457392,19.648962046401092,2.4748012737348875
43,1,0,0.08453244834687618,11.263055839780927,19.54490480627376,2.4812933820547407
44,1,0,0.08419577332346354,11.355840433931576,19.444100512731563,2.4874080212140774
45,1,0,0.08388007765456627,11.443743365935017,19.346483875792373,2.4931687747611755
46,1,0,0.08358322364630755,11.527011464909872,19.251984782697647,2.49859728414303
47,1,0,0.08330339437670665,11.605875998545907,19.160530055692213,2.503713458619305
48,1,0,0.08303910414914772,11.6805551082584,19.0720436291799,2.5085357279434626
49,0,1,0.08278904001622865,11.751253880085327,18.986449143721103,2.5130811276369474
50,0,1,0.09222083235402363,11.818165866424218,18.90366988325869,1.678243644843002
51,0,1,0.09273481450375345,11.690438711011273,19.10183687215738,1.6727815501389642
52,0,1,0.0932319818709577,11.56976030638711,19.294268406966953,1.6675823717475595
53,0,1,0.09371184492500922,11.455676184248217,19.48123220780401,1.662632270888123
54,0,1,0.09417465582232759,11.347758784553413,19.662974622642533,1.6579178815034812
55,0,1,0.09462062201174071,11.24560762826822,19.83972523846774,1.6534263895658174
56,0,1,0.09505014848082308,11.148849127610887,20.011696181270224,1.6491455928534657
57,0,1,0.09546323925382254,11.057134552913393,20.17908499855086,1.645063874323142
58,0,1,0.09585986451918767,10.97013977305787,20.34207159197239,1.6411702482332844
59,1,0,0.09624006938727475,10.887562777622234,20.500820067526277,1.6374543022952246
60,1,0,0.08718544390430254,10.80912449331924,20.655478081933804,2.4508594235604773
61,1,0,0.08666252237930203,10.930514665686927,20.51917361212292,2.459084370020085
62,1,0,0.08617907141299865,11.045378681916455,20.386855816714288,2.466808459054525
63,1,0,0.08573197934648445,11.15406161009076,20.258493314939866,2.4740652978498554
64,1,0,0.08531766323656821,11.256894764545656,20.134041451947017,2.4808861116869263
65,1,0,0.08493266469674784,11.3541908837627,20.013443873378026,2.487299619384151
66,1,0,0.08457393367081327,11.446245035551323,19.896632820183605,2.4933322686604957
67,1,0,0.0842384257029866,11.533334717240157,19.78353234423472,2.4990083940486008
68,1,0,0.08392372212173696,11.615718734844966,19.67405980278645,2.504350276038109
69,0,1,0.08362778570576618,11.69364002661048,19.568127971499486,2.509378439357132
70,0,1,0.09301714574870021,11.76732669208236,19.46564710201451,1.6760745444037264
71,0,1,0.09350082527978318,11.645318313495826,19.646581333400537,1.670842048495548
72,0,1,0.09396777279729096,11.529831312901958,19.822446709820642,1.665853758458367
73,0,1,0.09441818697363465,11.420450089603603,19.993472032962664,1.6610968437903186
74,0,1,0.09485248041318314,11.316785327020767,20.15986979298543,1.656559007482234
75,0,1,0.0952705743271763,11.218473744879773,20.321837362684988,1.6522285400710393
76,0,1,0.09567256613668966,11.125175091742816,20.47955601578773,1.648094247121553
77,0,1,0.09605826397934326,11.03657413398338,20.633189770667673,1.6441455919745434
78,0,1,0.09642778937800137,10.952376351357739,20.782887275405063,1.6403725554876918
79,1,0,0.09678137693614197,10.872309100180999,20.92878250975315,1.636765733391588
80,1,0,0.08783184714520648,10.796120641811722,21.070996168893902,2.449974503395208
81,1,0,0.08726472419753044,10.921156397035254,20.921095360473807,2.4584525698129203
82,1,0,0.08673923377917085,11.039395845053457,20.775533206122955,2.466407531794378
83,1,0,0.0862530859917352,11.151189535605427,20.63427996651637,2.4738741654927305
84,1,0,0.08580322312296691,11.256879036567227,20.49729409730217,2.480885071808439
85,1,0,0.08538631931788852,11.35679328582735,20.36452033074127,2.487470633801663
86,1,0,0.08499896264597842,11.451244003985973,20.23589248968437,2.4936588958954675
87,1,0,0.0846380182220916,11.540525849795527,20.11133297524874,2.4994757379886052
88,1,0,0.0843005870815647,11.624915504146974,19.990756048179033,2.504944958623189
89,0,1,0.08398415416871849,11.704671575493778,19.874069992392243,2.5100883943968775
90,0,1,0.09335046795033129,11.780036750822813,19.761178115598312,1.6766174448773823
91,0,1,0.09382018955042622,11.65914654288248,19.932969460244394,1.67143701353892
92,0,1,0.09427377637245334,11.544604610031753,20.100024838169798,1.6664938144118833
93,0,1,0.09471130324684962,11.436011619104743,20.262557092239074,1.6617755444303495
94,0,1,0.0951329583683511,11.33299292218342,20.42076331027721,1.6572703947612735
95,0,1,0.09553863085436994,11.235198425730653,20.574825260138333,1.6529671054763455
96,0,1,0.09592822320711415,11.14230164790877,20.724907765443568,1.6488549807725201
97,0,1,0.09630172589830173,11.053998453506651,20.871159695279268,1.6449238851775736
98,0,1,0.09665930431604797,10.970006086688578,21.01371519470801,1.6411642482269337
99,1,0,0.09700125477095121,10.890062632812786,21.15269508618373,1.6375670842779817
100,1,0,0.08810291406845293,10.813926600493678,21.28820781959583,2.451186021520931
101,1,0,0.08751877135742321,10.939734012501908,21.131097757652054,2.459706421117795
102,1,0,0.08697656632463384,11.058663435673408,20.978528982419505,2.4676981657279398
103,1,0,0.08647442017255588,11.171063638400916,20.830469636286434,2.4751960529358983
104,1,0,0.08600969534780085,11.277277845592842,20.686875841622854,2.4822329152847042
105,1,0,0.08557923235572881,11.377638328343712,20.54769154092273,2.48883945740331
106,1,0,0.08517973788187601,11.472462616214084,20.412848589233448,2.495044187360436
107,1,0,0.08480791057068272,11.562051450787315,20.2822680575399,2.5008734463261435
108,1,0,0.08446073736822036,11.646687602014337,20.155861668254953,2.5063514770943622
109,0,1,0.0841356567317191,11.726635869110668,20.03353425889023,2.511500552259258
110,0,1,0.09349017677128522,11.802145278305918,19.915185236494082,1.6775608176574677
111,0,1,0.09395373979932646,11.681120868768703,20.082156669361048,1.67238145228676
112,0,1,0.0944013552687487,11.566394226980405,20.24456187916888,1.667436808152214
113,0,1,0.09483315671612147,11.457571634904538,20.402605957201068,1.662714795609313
114,0,1,0.09524919480351174,11.354284343327075,20.556478375574052,1.6582038409779802
115,0,1,0.09564934827357784,11.256187013064208,20.706353471455948,1.653892877764773
116,0,1,0.0960334795436697,11.16295802906601,20.8523884964887,1.64977141531996
117,0,1,0.09640165758278156,11.074297231691862,20.99472541036146,1.6458294898046288
118,0,1,0.0967539948962192,10.989926717067126,21.13349118019944,1.642057746427264
119,1,0,0.09709083624177785,10.909588049824544,21.268800501614567,1.6384473584341241
120,1,0,0.08821515113546964,10.833042776957113,21.400756534211073,2.4524851336090014
121,1,0,0.08762450935835277,10.958795285913125,21.23986132837844,2.460991367511242
122,1,0,0.08707581634675128,11.077649422886825,21.08362099615842,2.468968397718656
123,1,0,0.08656731617222095,11.189952680430082,20.93200123768231,2.4764508960017513
124,1,0,0.08609660933049201,11.296047520320318,20.78495625325637,2.4834716075472194
125,1,0,0.08566059181839174,11.396267030749533,20.64242832319195,2.490061256788285
126,1,0,0.08525610989719858,11.490929993471227,20.504347685849474,2.496248400991408
127,1,0,0.08487973848906993,11.580340005057778,20.370633267272886,2.5020595350090864
128,1,0,0.08452861752906544,11.664781059117452,20.241195412632113,2.5075189487886713
129,0,1,0.08419996984441068,11.744521616225452,20.115936304570415,2.5126491196409426
130,0,1,0.0935487245110706,11.819812108276999,19.994753397386077,1.6783137740052962
131,0,1,0.09400954129597042,11.698434579713625,20.159208452736312,1.6731247059771723
132,0,1,0.09445443657856323,11.58334414182399,20.319183841845362,1.6681694935639335
133,0,1,0.0948836998977108,11.47414899887608,20.47488057521272,1.6634361390831378
134,0,1,0.09529727398724021,11.37048227798572,20.62648523022444,1.6589131611698904
135,0,1,0.09569493415259676,11.272000785276166,20.77416823544989,1.6545895995324296
136,0,1,0.09607670345809338,11.17838441751382,20.918082887322296,1.6504550436579575
137,0,1,0.09644252138855512,11.089334854531117,21.058368047768376,1.6464996255958297
138,0,1,0.09679260273199755,11.004574767806753,21.1951479772304,1.6427140310469146
139,1,0,0.09712725353838057,10.92384817602134,21.32853355492694,1.6390895582547698
140,1,0,0.0882611794125979,10.846917290478704,21.458625679647767,2.4534270239927136
141,1,0,0.0876681674948342,10.972455970295831,21.295762897688494,2.461911290774041
142,1,0,0.08711694151010053,11.091094900164844,21.137616934457817,2.4698670278702313
143,1,0,0.08660595557200726,11.20317971790058,20.984151960810962,2.4773287165003413
144,1,0,0.08613285422755469,11.309052938668655,20.835320345284075,2.4843290467660992
145,1,0,0.08569466460023083,11.409047281253104,20.691063342577323,2.4908986658336425
146,1,0,0.08528817316969646,11.503482187536102,20.551310136537865,2.497066126508565
147,1,0,0.08491005572824659,11.592661240732188,20.415978868554646,2.5028578792325127
148,1,0,0.08455733149320889,11.676870717560618,20.284977571516787,2.5082983219426938
149,0,1,0.08422714903396496,11.756378810799294,20.158207811986376,2.513409877267052
150,0,1,0.09357327432668121,11.831436228431848,20.03556537786949,1.678808761813567
151,0,1,0.09403270809161705,11.709762313707689,20.198718876318594,1.6736105733405358
152,0,1,0.09447649403777231,11.594375566794259,20.35743627759175,1.6686459403251854
153,0,1,0.09490455766714868,11.484885870401666,20.51191744440296,1.6639029515808568
154,0,1,0.09531701023186821,11.380926461088958,20.66234679296607,1.6593701451006688
155,0,1,0.0957136238403445,11.282155358532833,20.80889272739763,1.6550366281487965
156,0,1,0.09609435085190018,11.18825201652952,20.951708171534197,1.6508919851360986
157,0,1,0.09645912285215605,11.098919407943141,21.09092940640266,1.646926419239645
158,0,1,0.09680821739072729,11.01388074681865,21.226678845838705,1.643130654319808
159,1,0,0.09714185352496506,10.932879750213292,21.359066841591467,1.6394959885801754
160,1,0,0.08827987593458027,10.855679545483682,21.48819196816035,2.454021427287468
161,1,0,0.08768602636559383,10.981032338746058,21.324315101300567,2.4624884218571608
162,1,0,0.08713385606167923,11.099488076343023,21.16518832171568,2.4704276003215693
163,1,0,0.0866219554477671,11.211392097426133,21.010774096295602,2.47787337114057
164,1,0,0.08614790466034056,11.317085607009945,20.861025135433845,2.4848582908780075
165,1,0,0.08570889423235684,11.416901375931852,20.715881232718406,2.4914129693041502
166,1,0,0.08530157965065142,11.511159807751318,20.575270425679683,2.4975659851173164
167,1,0,0.0849226875051306,11.600164410892093,20.439109810713397,2.5033437499638596
168,1,0,0.08456932225865936,11.684200352094084,20.307307815051274,2.5087705599105714
169,0,1,0.08423862422266529,11.763537078517672,20.17976467481358,2.513868891769963
170,0,1,0.09358345077138623,11.838425974600138,20.0563753768782,1.6791062410377062
171,0,1,0.09404240252590665,11.716553393963668,20.218860040933915,1.6739016975448615
172,0,1,0.09448560509956509,11.600970696458791,20.376931608586002,1.6689306321407422
173,0,1,0.09491318659986182,11.49128784572223,20.530788312052135,1.664181148199274
174,0,1,0.09532506945702414,11.387139032418034,20.68061353297345,1.6596418361560268
175,0,1,0.0957212832187482,11.288181569374693,20.826574980431882,1.6553017832200732
176,0,1,0.09610154388234751,11.194096065273818,20.968824861877316,1.6511506349214906
177,0,1,0.0964658382353797,11.104584731355782,21.107498992600245,1.6471785709321343
178,0,1,0.09681442522682716,11.019371359996148,21.242718405722652,1.643376350310395
179,1,0,0.09714767912871411,10.93819937904303,21.374592837193138,1.6397352674928318
180,1,0,0.08828740136587862,10.860832224289767,21.503220751743164,2.4543708117009753
181,1,0,0.08769312100205778,10.986058284016272,21.338825249745895,2.4628264870655534
182,1,0,0.08714070181882098,11.104389869902366,21.179196469511908,2.4707548493281246
183,1,0,0.08662847452884105,11.216172265204214,21.024297595545463,2.478190268896318
184,1,0,0.08615415135349182,11.321747161751569,20.874079629897512,2.4851653036677708
185,1,0,0.08571475960650031,11.421446522587594,20.728482939739557,2.4917104824245984
186,1,0,0.08530714553991402,11.5155901866094,20.58743471573564,2.497854322873713
187,1,0,0.08492805238646264,11.604481642388617,20.450852082189936,2.5036232142873933
188,1,0,0.08457442911127451,11.68840714306428,20.31864250929576,2.509041503835314
189,0,1,0.08424350771764069,11.767635666715789,20.190705701646657,2.5141316203297137
190,0,1,0.09358764700988285,11.842418714492212,20.066936225610515,1.679276114378311
191,0,1,0.09404632158043325,11.720425183618927,20.2290796108629,1.6740676229397957
192,0,1,0.09448928532906535,11.604724314620302,20.386820731780297,1.66909261390565
193,0,1,0.09491665905020655,11.494925703937545,20.540358008240272,1.664339182297778
194,0,1,0.09532835159472983,11.39066374161304,20.68987439494091,1.6597959342448456
195,0,1,0.09572431019067593,11.291595775498406,20.8355372488737,1.6554519653360638
196,0,1,0.0961043191707183,11.197402422562277,20.97749788815225,1.6512969280109986
197,0,1,0.09646845963350525,11.107785776022393,21.115891871325644,1.6473210029209167
198,0,1,0.09681683908005335,11.022469691589889,21.250840459540903,1.6435149577781958
199,1,0,0.09714999510502077,10.941197761013248,21.382452453480422,1.6398700999509144
200,1,0,0.08829036515050885,10.863733624765784,21.510826499022237,2.454567494057434
201,1,0,0.08769603564905926,10.988882755417691,21.346166345871417,2.4630164248106956
202,1,0,0.08714351813899729,11.107139330437041,21.186282341615236,2.470938362003902
203,1,0,0.08663110846567681,11.21884876580211,21.031136821281436,2.478367664277101
204,1,0,0.08615664949900902,11.32435156707466,20.880681024396495,2.485336792836729
205,1,0,0.08571714888395254,11.42398067710193,20.73485434983601,2.4918763254041587
206,1,0,0.08530944915230974,11.518055525127467,20.59358427179071,2.4980147383193363
207,1,0,0.08493022966243108,11.606880072256077,20.456787289982735,2.5037784387227733
208,1,0,0.08457652663305004,11.690740080366233,20.32437075616801,2.5091917303182387
209,0,1,0.08424551340416273,11.769904342347925,20.19623460083493,2.514277019910702
210,0,1,0.09358939975270388,11.844624658694649,20.07227270157577,1.6793699503085773
211,0,1,0.09404793809775691,11.722561342684898,20.23424330956506,1.6741591515296688
212,0,1,0.09449079402133095,11.606792420640426,20.391817147982188,1.6691818442510742
213,0,1,0.09491803638721585,11.496927724005733,20.545192360580497,1.664426138162516
214,0,1,0.09532968410379253,11.392601244751845,20.694551895695607,1.6598806264578467
215,0,1,0.09572547970088133,11.293470638354068,20.840063180131047,1.6555344221944068
216,0,1,0.09610544995904646,11.199215951073104,20.981877038483205,1.6513771565552322
217,0,1,0.09646945603719219,11.109540050757287,21.12012891548246,1.6473990480132905
218,0,1,0.09681776572894916,11.024166178983409,21.254939794358897,1.6435908405603692
219,1,0,0.0971508127638402,10.942838622533676,21.386418032256277,1.639943875928006
220,1,0,0.08829150563521677,10.865320132677523,21.51466268693604,2.454675025920507
221,1,0,0.0876971607741068,10.990424974229155,21.34986826117624,2.463120120257601
222,1,0,0.08714460746096955,11.108638323151576,21.189854884106456,2.4710383988419404
223,1,0,0.0866321652020434,11.220305366170868,21.0345847848765,2.47846419362592
224,1,0,0.08615765722748879,11.325766872888183,20.88400878070105,2.48542997321186
225,1,0,0.0857181071766103,11.425355821789339,20.73806594007233,2.491966308385441
226,1,0,0.08531038514679462,11.51939162360336,20.59668358424798,2.498101665965575
227,1,0,0.0849311312717611,11.608177841573074,20.45977864337612,2.5038624199390234
228,1,0,0.08457739775265147,11.692000551506892,20.327257899578367,2.5092728879968065
229,0,1,0.08424634506573658,11.771128802431651,20.19902089661074,2.5143554874921574
230,0,1,0.09359009036876766,11.845813809609748,20.07496187769772,1.6794205290530007
231,0,1,0.09404856928805931,11.72371200140715,20.236844754461114,1.6742084492794405
232,0,1,0.09449139969654914,11.607905844231762,20.394333453968574,1.6692298793320923
233,0,1,0.0949185921646439,11.498004872271782,20.54762652581188,1.664472918702111
234,0,1,0.095330219649519,11.39364272253245,20.69690696917433,1.6599261474089702
235,0,1,0.09572598550028429,11.294477682755998,20.842341662590364,1.6555787082609872
236,0,1,0.09610585251389592,11.200189941930626,20.984081095000064,1.6514202411060475
237,0,1,0.09646984029625441,11.110481739746021,21.122260708602205,1.6474409388075413
238,0,1,0.09681814050374764,11.025076656871185,21.25700163996031,1.6436315622758557
239,1,0,0.09715116012671204,10.943718391976919,21.38841277980077,1.6399834286975645
240,1,0,0.08829194484935228,10.866170404819064,21.51659223932571,2.454732651961961
241,1,0,0.08769759027956808,10.99125017666583,21.35173051891643,2.463175600895997
242,1,0,0.08714503930357852,11.109439481731242,21.191651873665595,2.471091861118415
243,1,0,0.08663256717093,11.221083173088418,21.036318859622106,2.4785157355339487
244,1,0,0.08615805304729514,11.326522114700422,20.88568187264027,2.4854796932047702
245,1,0,0.08571851258952162,11.426088624505638,20.739680726727386,2.492014256441927
246,1,0,0.0853107718522479,11.52010321190581,20.59824166562574,2.4981479595950504
247,1,0,0.0849314832462692,11.60886864187134,20.46128212438799,2.503907120310737
248,1,0,0.0845777820795072,11.692671033293417,20.32870864184849,2.509316055665029
249,0,1,0.08424673438726007,11.771779499615862,20.200421108154018,2.5143971840637396
250,0,1,0.0935903648431053,11.846445625264153,20.076313107073503,1.6794474009350875
251,0,1,0.09404882601981064,11.724322744960132,20.238151956645083,1.6742346140310198
252,0,1,0.0944916163565028,11.608496189767157,20.395598034101567,1.6692553465838085
253,0,1,0.09491880489647776,11.498575506733763,20.54884964945032,1.6644977001086556
254,0,1,0.09533036742575081,11.394194415816665,20.698089909433225,1.659950259660266
255,0,1,0.0957261301522146,11.29501075024312,20.843485651842748,1.6556021494672557
256,0,1,0.09610596885776032,11.200705103648,20.98518734017019,1.651443028258671
257,0,1,0.09646997724560254,11.110979378434473,21.12333051316869,1.6474630751338197
258,0,1,0.09681823949487268,11.025557399927392,21.258036345106667,1.6436530628719854
259,1,0,0.09715120873289824,10.94418277339671,21.389413346816088,1.6400043055100502
260,1,0,0.08829210882238991,10.866618785231289,21.517559666627577,2.454763039065284
261,1,0,0.08769773240060832,10.991685384598611,21.35266373673929,2.4632048599526515
262,1,0,0.08714517058563963,11.109861395565625,21.19255244417213,2.4711200148516226
263,1,0,0.0866327315783813,11.221492489440951,21.037187558350922,2.478542858158022
264,1,0,0.08615822246365751,11.326919095157045,20.886520181979034,2.485505826772074
265,1,0,0.0857186788718115,11.426473903915213,20.740489498133705,2.4920394648176547
266,1,0,0.08531092310648081,11.520476865357491,20.599022205692048,2.498172267476524
267,1,0,0.08493166675337467,11.609231070665114,20.46203528150819,2.50393057164306
268,1,0,0.0845779189092968,11.693022478436758,20.329435727896534,2.5093386820861734
269,0,1,0.08424686735183375,11.772120452347032,20.201122559196033,2.514419031616102
270,0,1,0.09359050701390206,11.84677613511023,20.076990083215158,1.6794614575179505
271,0,1,0.09404892692917982,11.724642503286482,20.23880662741348,1.6742483123578127
272,0,1,0.0944917481377326,11.608805148442547,20.396231277819517,1.66926867456639
273,0,1,0.09491891216477416,11.49887384573317,20.54946259436419,1.6645106559761538
274,0,1,0.0953304502157881,11.394482589253872,20.698682977049337,1.6599628542146545
275,0,1,0.09572618597148326,11.295289193405395,20.844059253394487,1.6556143934694276
276,0,1,0.09610603623561832,11.200973883233775,20.985742209758907,1.6514549168971357
277,0,1,0.09647000772565906,11.111239016841244,21.123867170132367,1.6474746242828677
278,0,1,0.09681826894789307,11.025808135763796,21.258555220527153,1.6436642764396165
279,1,0,0.09715123724866992,10.944424944381247,21.38991499896953,1.6400151923452666
280,1,0,0.0882921670424164,10.866852714868934,21.51804463803211,2.454778892317698
281,1,0,0.08769779147348108,10.991912101093089,21.3531317191146,2.4632201017955535
282,1,0,0.0871451946593543,11.110081095939288,21.193004058116127,2.47113467486079
283,1,0,0.08663275636456255,11.221705200234405,21.03762331324437,2.478556952789036
284,1,0,0.08615828760002625,11.327125013823352,20.88694065515196,2.4855193823236967
285,1,0,0.0857187246241582,11.426673670748855,20.740895085691843,2.492052535090896
286,1,0,0.08531098515878001,11.520670438914872,20.599413523672762,2.4981848601127807
287,1,0,0.08493173340957925,11.609418584503995,20.462413009900935,2.503942704720004
288,1,0,0.08457800164126747,11.693204391716497,20.32980010981983,2.5093503936743
289,0,1,0.08424693031241422,11.772296886553727,20.20147423758127,2.5144303369846255
290,0,1,0.09359053962038455,11.8469470325837,20.077329593401654,1.6794687256793681
291,0,1,0.09404897139191049,11.724807546086515,20.23913496704225,1.6742553826271527
292,0,1,0.09449177866174188,11.608964723374685,20.396548720932678,1.669275558276225
293,0,1,0.09491894180919067,11.499028010218215,20.549769540777266,1.6645173507332442
294,0,1,0.09533047905960268,11.39463155331245,20.698979749967776,1.6599693645674627
295,0,1,0.09572620132512946,11.295433157898728,20.844346167495033,1.6556207239480891
296,0,1,0.09610605100249946,11.201112886471883,20.986019636287914,1.6514610651995878
297,0,1,0.09647002195971553,11.111373248205,21.1241354051893,1.6474805950435591
298,0,1,0.09681831846043445,11.025937776556184,21.258814552044385,1.6436700742476238
299,1,0,0.0971512631686011,10.944550277098177,21.390165845704665,1.6400208266313177
300,1,0,0.08829216734666093,10.866973944466945,21.518287064482834,2.4547871078711103
301,1,0,0.08769784773935169,10.992029413021408,21.3533656295008,2.463227988431235
302,1,0,0.087145215548595,11.110194981857271,21.193229774992425,2.471142274078891
303,1,0,0.08663279357810899,11.221815587272577,21.037841047481635,2.4785642671752393
304,1,0,0.08615828937742182,11.327231949947835,20.887150862789873,2.4855264218221977
305,1,0,0.085718782386054,11.426777083331485,20.741097954475695,2.492059301069688
306,1,0,0.08531098744990714,11.520770825946375,20.599609326804657,2.498191390581613
307,1,0,0.08493175593907307,11.609515638116754,20.46260199664321,2.503948984517036
308,1,0,0.08457800435908472,11.693298436333786,20.3299824466568,2.5093564482225283
309,0,1,0.08424695328640529,11.772387786823915,20.201650244565258,2.5144361615517807
310,0,1,0.09359054236661471,11.84703511124578,20.077499417641928,1.6794724715804774
311,0,1,0.09404897371259519,11.724892454276535,20.239299262134242,1.674259019982392
312,0,1,0.09449178060173058,11.609046584861606,20.396707655650616,1.669279089574113
313,0,1,0.09491895624767759,11.499106943298141,20.549923279632228,1.6645207784620568
314,0,1,0.09533050327382514,11.39470782650726,20.699128387542395,1.6599726980022345
315,0,1,0.09572620233751343,11.295506676184367,20.84449013016477,1.655623956709108
316,0,1,0.09610605176907021,11.201183797436043,20.986158866609127,1.6514642016674934
317,0,1,0.09647004787976575,11.111441651032706,21.124270051070255,1.647483637658166
318,0,1,0.09681831872444852,11.02600407109395,21.25894462848239,1.6436730390598886
319,1,0,0.09715124011391423,10.944614240028871,21.390291624285833,1.6400237020438633
320,1,0,0.08829216723331888,10.867035706133924,21.51840847803646,2.4547912933447225
321,1,0,0.08769781578623545,10.992089183313814,21.353482773499007,2.4632320066403772
322,1,0,0.08714521583828978,11.110252916150658,21.193342475488176,2.4711461398153736
323,1,0,0.08663283369908097,11.221871634330592,21.037949796986858,2.478567980905643
324,1,0,0.08615828992380477,11.327286605075354,20.887255648035143,2.485530019696808
325,1,0,0.08571876723879587,11.426829943414221,20.74119907593231,2.492062759531683
326,1,0,0.08531102816127467,11.520821993550797,20.59970675244434,2.498194719168009
327,1,0,0.08493175677587488,11.609565561510202,20.46269586525203,2.503952214766586
328,1,0,0.08457798957356459,11.693346703252708,20.33007304559774,2.509359555610831
329,0,1,0.08424695432801324,11.772434497559647,20.20173752675131,2.5144391545979348
330,0,1,0.09359056934096151,11.847080262187792,20.07758366782916,1.6794743917992232
331,0,1,0.0940489873812771,11.724936301568626,20.239380630821366,1.6742608983355234
332,0,1,0.09449180688840148,11.609089022630146,20.39678629717044,1.6692809202254537
333,0,1,0.0949189336059906,11.49914818264451,20.54999921162806,1.6645225693053742
334,0,1,0.09533048042159524,11.394747646246355,20.69920162164399,1.6599744382732418
335,0,1,0.09572620229547336,11.295545131299715,20.84456075002383,1.6556256476593998
336,0,1,0.09610606434536122,11.201220897557794,20.986227156738643,1.6514658426400826
337,0,1,0.09647003491093047,11.111477600579729,21.124336019755944,1.6474852367186288
338,0,1,0.09681829529317987,11.026038608881642,21.25900847730348,1.6436745836476065
339,1,0,0.09715121654313034,10.9446476133072,21.390353153312883,1.640025202313526
340,1,0,0.08829215055110408,10.867067958975062,21.5184677605395,2.4547934790533232
341,1,0,0.0876978153004555,10.992120456157771,21.353539796879204,2.463234109030347
342,1,0,0.08714521547743811,11.11028318424328,21.193397487827454,2.471148159485209
343,1,0,0.08663281363886181,11.221900924869441,21.038002872453966,2.4785699217189348
344,1,0,0.0861582898471989,11.327314723655503,20.88730693688012,2.4855318707009393
