,investment,durable_stock,y_list
284,0.14759691804647446,7.018709251719811,1.9022381758369398
285,0.14759690314531326,7.018725373794898,1.9022396177603278
286,0.14759687334299088,7.01874103546485,1.9022410185039555
287,0.14759685844182968,7.018756220722226,1.9022423766363419
288,0.1475968360900879,7.01877097067978,1.9022436958346889
289,0.1475967988371849,7.0187852828301045,1.9022449758749056
290,0.14759676903486252,7.018799140560154,1.9022462152713289
291,0.14759675413370132,7.018812570220591,1.9022474163808452
292,0.14759673178195953,7.0188256116288,1.9022485827647448
293,0.14759670943021774,7.0188382610165885,1.902249714086143
294,0.14759669452905655,7.018850528889612,1.9022508112847574
295,0.14759667217731476,7.018862439644873,1.9022518765426928
296,0.14759664237499237,7.0188739886798315,1.9022529094484228
297,0.14759664237499237,7.018885171515286,1.9022539096014512
298,0.14759661257266998,7.01889605465655,1.902254882949872
299,0.1475965902209282,7.01890658944351,1.9022558251417925
300,0.1475965827703476,7.018916799384597,1.9022567382798097
301,0.1475965678691864,7.01892672153118,1.9022576256777364
302,0.1475965529680252,7.018936349422954,1.902258486757862
303,0.147596538066864,7.018945690945667,1.902259322225528
304,0.14759653061628342,7.018954753773747,1.9022601327671713
305,0.14759650826454163,7.018963559548903,1.9022609203183989
306,0.14759649336338043,7.018972086814035,1.9022616829602388
307,0.14759648591279984,7.018980357205927,1.9022624226278504
308,0.14759646356105804,7.018988391781529,1.902263141204527
309,0.14759644865989685,7.018996168514605,1.902263836720391
310,0.14759644120931625,7.019003708488101,1.902264511061055
311,0.14759642630815506,7.019011032219968,1.9022651660615943
312,0.14759641140699387,7.019018131332349,1.902265800972774
313,0.14759640395641327,7.019025011844887,1.9022664163330023
314,0.14759638905525208,7.019031693788895,1.9022670139338216
315,0.14759638905525208,7.019038168312887,1.9022675929836321
316,0.14759638160467148,7.019044469321582,1.9022681565147384
317,0.1475963592529297,7.0190505872920825,1.9022687036754877
318,0.1475963592529297,7.019056498783691,1.902269232369492
319,0.1475963518023491,7.019062251848945,1.9022697468943555
320,0.1475963369011879,7.019067836560572,1.9022702463622574
321,0.1475963294506073,7.0190732432573375,1.9022707299091715
322,0.1475963220000267,7.019078490882965,1.9022711992293495
323,0.1475963145494461,7.019083583700478,1.902271654704075
324,0.1475962996482849,7.019088525858657,1.9022720967044129
325,0.1475962996482849,7.019093307222066,1.9022725243239236
326,0.14759628474712372,7.019097960445996,1.9022729404831387
327,0.14759628474712372,7.019102460618454,1.9022733429540808
328,0.14759626984596252,7.019106840187229,1.90227373463872
329,0.14759626984596252,7.0191110740383635,1.902274113291016
330,0.14759625494480133,7.019115194423119,1.9022744817953576
331,0.14759624749422073,7.019119176036251,1.902274837888598
332,0.14759624004364014,7.019123036769835,1.9022751831709175
333,0.14759624004364014,7.019126779863395,1.9022755179320527
334,0.14759624004364014,7.019130422642698,1.9022758437215328
335,0.14759621769189835,7.019133967796131,1.902276160779801
336,0.14759621769189835,7.01913737542085,1.9022764655381859
337,0.14759621769189835,7.0191406917217645,1.9022767621289989
338,0.14759621769189835,7.019143919146324,1.9022770507711335
339,0.14759621024131775,7.019147060076389,1.902277331677617
340,0.14759621024131775,7.019150102656916,1.90227760378821
341,0.14759619534015656,7.019153063696714,1.902277868606202
342,0.14759619534015656,7.019155917034903,1.9022781237919246
343,0.14759619534015656,7.019158693904006,1.9022783721386367
344,0.14759618043899536,7.0191613963533745,1.9022786138296257
345,0.14759618043899536,7.019163998031278,1.9022788465081555
346,0.14759617298841476,7.0191665299845285,1.9022790729508736
347,0.14759616553783417,7.019168979908645,1.9022792920573455
348,0.14759616553783417,7.01917135000199,1.9022795040241849
349,0.14759616553783417,7.019173656577093,1.90227971031029
350,0.14759616553783417,7.019175901336229,1.902279911067906
351,0.14759616553783417,7.019178085936056,1.9022801064451977
352,0.14759616553783417,7.019180211988828,1.9022802965863586
353,0.14759615808725357,7.019182281063594,1.902280481631718
354,0.14759615063667297,7.019184280514263,1.9022806604502902
355,0.14759615063667297,7.019186212206742,1.9022808332089542
356,0.14759615063667297,7.019188092130038,1.9022810013376712
357,0.14759614318609238,7.019189921671551,1.902281164960524
358,0.14759612828493118,7.019191688008409,1.9022813229307172
359,0.14759612083435059,7.019193378661383,1.902281474132189
360,0.14759612083435059,7.019195009831888,1.9022816200138961
361,0.14759612083435059,7.019196597287147,1.9022817619859629
362,0.14759612083435059,7.019198142198722,1.902281900153168
363,0.14759612083435059,7.019199645706778,1.9022820346174822
364,0.14759612083435059,7.019201108920923,1.9022821654781439
365,0.14759612083435059,7.019202532921027,1.902282292831731
366,0.14759612083435059,7.0192039187580235,1.9022824167722339
367,0.1475961059331894,7.019205267454677,1.9022825373911234
368,0.1475961059331894,7.019206551660127,1.9022826522423135
369,0.1475961059331894,7.019207801448947,1.9022827640154851
370,0.1475961059331894,7.019209017743498,1.9022828727931294
371,0.1475961059331894,7.019210201441425,1.9022829786555266
372,0.1475961059331894,7.019211353416312,1.9022830816808063
373,0.1475961059331894,7.019212474518333,1.9022831819450028
374,0.1475961059331894,7.019213565574878,1.9022832795221138
375,0.1475961059331894,7.019214627391164,1.9022833744841534
376,0.1475960910320282,7.019215660750825,1.9022834669012059
377,0.1475960910320282,7.019216638070264,1.9022835543063723
378,0.1475960910320282,7.019217589197587,1.9022836393690765
379,0.1475960835814476,7.01921851483474,1.9022837221520965
380,0.1475960835814476,7.019219401491738,1.9022838014489758
381,0.1475960835814476,7.019220264386365,1.9022838786206957
382,0.1475960835814476,7.01922110415545,1.9022839537242104
383,0.147596076130867,7.019221921418757,1.9022840268149481
384,0.147596076130867,7.019222702606317,1.9022840966792993
385,0.147596076130867,7.019223462858079,1.9022841646712834
386,0.147596076130867,7.0192242027351215,1.9022842308410801
387,0.147596076130867,7.019224922783484,1.902284295237524
388,0.147596076130867,7.019225623534575,1.9022843579081412
389,0.147596076130867,7.019226305505558,1.9022844188991836
390,0.147596076130867,7.019226969199742,1.9022844782556645
391,0.147596076130867,7.019227615106942,1.9022845360213898
392,0.147596076130867,7.019228243703849,1.902284592238992
393,0.147596076130867,7.019228855454377,1.9022846469499608
394,0.147596076130867,7.019229450810007,1.902284700194674
395,0.147596076130867,7.019230030210124,1.9022847520124277
396,0.147596076130867,7.019230594082332,1.9022848024414643
397,0.1475960686802864,7.01923114284278,1.9022848515190012
