episodes_total,1 households,2 households,3 households,4 households,5 households
5,26.560699943008707,21.24724220716834,18.101383695429465,13.896572634407628,11.435478267175828
10,28.90245094464641,24.94579625230228,20.97404958908444,15.87756795746056,13.110391214867684
15,31.292624920514324,28.758731195062104,24.482746801381413,19.867963649525876,16.952464821325208
20,33.69183149981675,31.748949861908148,27.563253406848972,22.898888226098634,19.7398840839573
25,35.968557311410706,32.81082592582237,28.586277507366614,24.979745096137645,21.881725421034293
30,37.940718071304914,31.788831579248924,29.364108837007496,25.78303614053623,22.82358377012876
35,39.31722356455557,26.365475876119387,29.523574234168223,26.64724106433258,23.795139811842137
40,39.79839373233722,21.87608184209736,29.4570293646128,26.606431683388237,24.543637485059165
45,38.65253382543616,19.805935940521596,29.194933630363487,25.38369708425688,24.80566332583704
50,33.17564942617296,18.44835494281528,28.85725009981806,23.71562267410273,24.406998543946628
55,28.553100881432595,17.328959704865284,27.857306067234923,22.699945955788497,24.525347488055093
60,27.3158069592305,17.14722079101827,23.9917314299177,22.80754894850956,24.798721517868707
65,26.51635355385831,17.195435392106408,22.62516823758433,20.296557638210643,24.87502886324689
70,26.63779384757276,17.272151921150225,21.284253712396875,18.43531976868415,24.809678331545545
75,27.196638290766703,17.5067350951383,19.874056136027495,17.2554913706255,24.84534054220876
80,28.63231414415059,18.50132003923226,20.214487535264343,16.292192561617785,24.570513152926484
85,31.36344602551478,19.49932235601497,20.37324665058116,16.880156769676915,24.762702589971628
90,35.83272105208033,20.4129074051341,21.05129221783686,15.970515148703186,24.51003338567588
95,38.61700582378574,21.71420684140376,19.748970531832004,16.462854555293706,24.053827258012426
100,39.64930507716675,22.54247549513452,20.50115554726951,16.99204602687862,24.287499677592592
105,39.79484390425944,22.592347866137438,21.460367727601028,17.72356267046571,24.18583992422796
110,39.52560029335564,21.822781767500626,21.042266161128747,18.27945676876361,24.0692511000695
115,39.099876608798375,21.92803824632105,19.34163826426601,17.77788996924268,22.7377821207348
120,38.512649368024405,22.620819951253505,18.67093945752016,19.220177169489794,23.317568989375747
125,37.91027885248417,24.3187791961276,19.151638963392223,19.70987256690275,23.115895655257912
130,37.10527069458047,28.01282586972165,19.05943553408322,19.166901710186416,24.11023055610732
135,36.42983130574978,28.857643675786463,19.86409961067444,18.559562183813668,24.150391853490262
140,36.31304453305376,30.429327693135143,18.693149466141566,18.89319819049763,23.951816209196792
145,36.689297152163086,31.69544899172516,19.91218193629877,20.90455863722563,23.679392659361064
150,36.93876636518058,31.280440478966923,18.83039439199036,20.607134619763382,23.329932035871643
155,37.457411968286806,30.54199218868822,18.326598768007237,22.962658034601795,23.250560552845823
160,38.07518459865174,30.73173316525022,18.333801965115267,18.37203938288974,23.10678351265773
165,38.58066185328488,31.51560025861015,18.878098258930255,19.592488453278214,23.887601318075827
170,39.21350861801027,31.602587435787285,19.49138591284123,18.363711683157938,24.014663212082134
175,39.67109877093857,31.515163762314128,18.72697550565992,19.0871042535164,23.723823787321518
180,39.79053048279469,32.28999501447022,18.295760660917352,19.409636962908134,23.269182824454496
185,39.38212155317508,32.519199624599544,18.753940304245468,19.888177459078143,22.64151604908291
190,38.262212729397234,32.54564220495628,19.15588156530393,18.497902850153388,22.28269797681241
195,36.865462890160586,32.39546668103887,19.16447240965637,22.60602524446765,21.148802292023237
200,36.37195610045824,32.41395630462615,19.824747387220118,23.272558409152143,22.103262906960182
205,36.48176668429732,32.4075867498654,21.177649003784527,23.57387506029193,22.72823395303879
210,36.85773179398083,32.65637819645573,22.842192192087687,22.315106304292005,21.599119158099533
215,37.34493754114365,32.69727510809563,25.311102444460168,23.87715444844687,23.034733276600505
220,38.288992654553695,32.77907409840716,27.541225985751044,23.917398813429426,21.93404324320419
225,38.82452909444595,32.73065895523749,28.107205316510797,25.13955768273786,23.62028169140483
230,39.04058432033412,32.76007829636142,27.092088672974462,24.427318765661184,24.05262174656132
235,39.28249831676144,32.77603667285309,27.89297730253613,24.888663562453893,24.100627632841345
240,39.34784081088343,32.76953002987193,27.224435877308984,24.348410929940957,24.42587430292537
245,39.319837692178325,32.760530435309704,25.41089523521635,24.841033438806758,24.592170793861666
250,39.39175551766461,32.756932911467786,24.9368440257107,23.136598195745496,24.460266532784036
255,39.51587154687914,32.72322294990856,26.81789687585302,21.802419774122093,24.70822319587978
260,39.66013275543897,32.666266389470444,27.365782391817152,21.866678610163213,24.297333124764027
265,39.79713498573719,32.72995906284549,26.91117713132505,20.55986979615172,24.54881816318488
270,39.80966510041175,32.697369587853274,27.179011152966066,18.40058504983975,24.453490551048095
275,39.7972324907396,32.75989370042225,27.410450667014803,18.357949653012945,24.61869629340175
280,39.78768856803596,32.74685658581494,26.77737614771604,22.317841412296197,24.52452394956861
285,39.80842936017432,32.73103045664512,27.3631718825722,19.72687347416808,24.63407741793216
290,39.77720877546136,32.75036988546076,27.67711082350039,19.89577460796866,24.32012802325592
295,39.74623211755844,32.71811930314124,27.382157066293207,20.57129978565966,24.68255731055178
300,39.43243885762861,32.7456965209187,28.63356301622712,21.70177206285918,24.55691029264081
305,38.08755253640333,32.7752875971265,28.663828132509384,23.25853023044805,24.751141751147674
310,34.103883389492964,32.78282756603221,28.513083212082236,24.255811107237616,24.68358313178048
315,29.97089808022787,32.77275306665533,28.118213815407604,25.408148016054746,24.280524117126973
320,27.418320955064665,32.747254697705735,28.99674306133845,24.62512194592938,24.487845781595357
325,27.12839883382264,32.73451859642981,29.02478635959856,23.668546237354946,24.04432274578767
330,27.981959592637853,32.74895642869106,28.79993244749274,22.995159483325672,24.27839690468742
335,28.834776287087447,32.77215468436962,28.814831977723745,21.61783097777602,24.26824514187134
340,30.22178554352936,32.77553152958087,29.132228297825247,20.98368277416709,24.030107110930395
345,32.09970892179426,32.77282726260987,29.017340436034317,18.687447112649657,23.549099630381388
350,34.30032804956428,32.77503743082416,29.169783058205688,17.97241658406962,23.0385823763244
355,36.89583209189721,32.77854893421448,29.150185941391918,18.02453422134248,23.571448464884565
360,38.32230283226296,32.773824217328325,29.24797585549008,17.56943653327922,23.99410574014833
365,39.156130077574346,32.77075205909653,29.341329058942897,17.9852820672062,23.991951849728707
