,shock_0,s_0,k_0,y_0,c_0
0,1,0.10145707726478576,23.070843176993726,3.3844879433405777,3.0411076885713366
1,1,0.10141544938087463,23.319982580611505,3.3954113629182046,3.0510641937149265
2,1,0.1013762891292572,23.560805310587305,3.4058927678544975,3.0606159978772336
3,1,0.10133943557739257,23.79357822064629,3.4159527814844233,3.069782054649768
4,1,0.10130472779273986,24.018560593940034,3.425610840696436,3.0785802669558247
5,1,0.10127200484275817,24.236004189010718,3.4348852801344805,3.0870275614103826
6,1,0.10124110579490661,24.446153303741543,3.4437934087943436,3.095139955958793
7,1,0.10121189653873443,24.649244854681974,3.4523515798467797,3.102932528931991
8,1,0.10118429660797118,24.84550862610648,3.460575260959564,3.110419387320424
9,0,0.10115819871425627,25.0351676828925,3.4684791053488833,3.117614006773755
10,0,0.1010252684354782,25.2184383132095,2.844062998184497,2.556740770345497
11,0,0.10101789236068724,25.281749712099828,2.846203141985357,2.55868569935163
12,0,0.10101083815097808,25.342892783278437,2.8482664307038883,2.5605606512611936
13,0,0.1010040521621704,25.401941313414536,2.8502557336661485,2.562368354867407
14,0,0.1009975343942642,25.458966412339787,2.8521737985221916,2.564111277207527
15,0,0.10099128484725951,25.514036880315366,2.8540232660854365,2.5657917894594964
16,0,0.10098527669906615,25.567219278893777,2.855806674958376,2.5674122476886643
17,0,0.10097950994968413,25.618577857289637,2.857526461151803,2.5689748394364385
18,0,0.10097395777702331,25.668174766855238,2.8591849672122285,2.570481745056241
19,1,0.10096864700317382,25.71606998357484,2.860784441416736,2.5719349069991573
20,1,0.10106292665004729,25.76232166169013,3.4983997292928577,3.144841214058788
21,1,0.10104305148124694,25.92104452877816,3.5048519756434797,3.1507110370343856
22,1,0.10102422237396239,26.074397586481737,3.5110597179336014,3.1563576402208158
23,1,0.10100630521774291,26.22255908519366,3.517033078698606,3.1617905620906765
24,1,0.1009892463684082,26.36570121190854,3.5227816791378013,3.167018612241239
25,1,0.10097304582595824,26.503990707768875,3.5283146861396277,3.1720500056476495
26,1,0.10095759630203247,26.63758931376183,3.533640850079116,3.1768929636604577
27,1,0.10094284415245056,26.76665325528272,3.538768502492138,3.181555145053473
28,1,0.10092881619930266,26.891333698143278,3.5437055910947226,3.186043580826682
29,0,0.10091543197631835,27.011777353420946,3.548459718959244,3.1903653735699065
30,0,0.10082217156887054,27.12812595395718,2.9070312035806483,2.61393800481718
31,0,0.10082241296768188,27.125762567804482,2.9069552236164675,2.613868983582448
32,0,0.10082262754440306,27.123480863353507,2.906881865222151,2.6138023976092786
33,0,0.10082284212112426,27.121277917327095,2.906811034867473,2.6137380848230882
34,0,0.10082305669784544,27.119151050005726,2.9067426468167827,2.613675968130729
35,0,0.1008232444524765,27.117097672909818,2.9066766182348616,2.6136160510102706
36,0,0.10082343220710753,27.115115141672963,2.906612864457937,2.6135581793659557
37,0,0.10082361996173858,27.113201045970886,2.9065513083189396,2.6135022838096966
38,0,0.10082380771636962,27.111353057535162,2.9064918752626743,2.613448297302
39,1,0.10082396864891051,27.109568927356328,2.906434493257803,2.613396233029466
40,1,0.10090486407279967,27.107846338973083,3.5522411076530442,3.1938027015315025
