,shock,investment,durable_stock,y_list
0,0.75,0.1128726452589035,3.0,1.0777332391386387
1,0.75,0.11283713579177856,3.0016465187072754,1.0779283991340076
2,0.75,0.11280357837677002,3.00321102142334,1.078113771422941
3,0.75,0.11277183890342712,3.004697561264038,1.0782898462364088
4,0.75,0.11274179816246033,3.006110429763794,1.0784571408793946
5,0.75,0.11271338164806366,3.007453203201294,1.0786160869023167
6,0.75,0.11268648505210876,3.0087294578552246,1.0787671149344396
7,0.75,0.11266098916530609,3.0099427700042725,1.0789106547506615
8,0.75,0.11263683438301086,3.011096239089966,1.0790470789448827
9,0.75,0.11261394619941711,3.012192726135254,1.0791767312461868
10,0.75,0.11259223520755768,3.013235330581665,1.0792999829634289
11,0.75,0.11257165670394897,3.0142266750335693,1.0794171484715656
12,0.75,0.11255210638046265,3.015169382095337,1.079528541653133
13,1.25,0.1125335693359375,3.016065835952759,1.7993907462831285
14,1.25,0.2886364385485649,3.0979151725769043,1.8153608079208725
15,1.25,0.24743298860266805,3.4979777336120605,1.8895989390290937
16,1.25,0.24580768309533596,3.8256077766418457,1.9462613521520806
17,1.25,0.23753720335662365,4.150989532470703,1.999401684292037
18,1.25,0.2301019001752138,4.4598822593688965,2.0473247322758183
19,1.25,0.22986012510955334,4.752580165863037,2.090724131208749
20,1.25,0.2300029918551445,5.043051242828369,2.1320570859256476
21,1.25,0.22586640529334545,5.331708908081055,2.171580509372143
22,1.25,0.22403651662170887,5.6089277267456055,2.208209945339394
23,1.25,0.22360769659280777,5.8792901039123535,2.2427828515385566
24,1.25,0.2227968815714121,6.1456217765808105,2.275813852036947
25,1.25,0.22028140164911747,6.406841278076172,2.3072917938324613
26,1.25,0.21378294005990028,6.658821105957031,2.336851621149863
27,1.25,0.2025505229830742,6.89204740524292,2.3635507804703835
28,1.25,0.19104360416531563,7.095103740692139,2.38630746844423
29,1.25,0.18281322717666626,7.267188549041748,2.4052539377312008
30,1.25,0.17745189368724823,7.416213035583496,2.421420070952211
31,1.25,0.17393265664577484,7.54925012588501,2.435669018223281
32,1.25,0.17160674184560776,7.67092227935791,2.448554163139188
33,1.25,0.17004673928022385,7.784273624420166,2.460435495912839
34,1.25,0.16893913596868515,7.891291618347168,2.4715470570448717
35,1.25,0.16804836690425873,7.993180751800537,2.4820326617002437
36,1.25,0.16719625145196915,8.090555191040039,2.4919702898515634
37,1.25,0.16625309735536575,8.183581352233887,2.501389579803959
38,1.25,0.1651465892791748,8.272101402282715,2.510286227382723
39,1.25,0.16387847065925598,8.355782508850098,2.518638078359676
40,1.25,0.16252290457487106,8.434301376342773,2.5264238995955046
41,1.25,0.16119057685136795,8.50753116607666,2.5336416173055056
42,1.25,0.1599779799580574,8.575629234313965,2.5403162815260227
43,1.25,0.1589384526014328,8.638998985290527,2.546495673207993
44,1.25,0.158083014190197,8.698175430297852,2.552238799834659
45,1.25,0.15739653259515762,8.753713607788086,2.557605064118118
46,1.25,0.15685278922319412,8.806122779846191,2.562648115101478
47,1.25,0.15642423927783966,8.855835914611816,2.567413190770379
48,0.75,0.156086303293705,8.903207778930664,1.5431623231559226
49,0.75,0.0,8.787945747375488,1.5365407926104675
50,0.75,0.0,8.43642807006836,1.5159804616747365
51,0.75,0.0,8.098971366882324,1.4956952635483085
52,0.75,0.0,7.775012493133545,1.4756814734070898
53,0.75,0.0,7.464012145996094,1.4559354973449359
54,0.75,0.003979906439781189,7.165451526641846,1.436453722089796
55,0.75,0.006522729992866516,6.88455057144165,1.4176212334792568
56,0.75,0.008345469832420349,6.618415355682373,1.3992976012553147
57,0.75,0.01123441755771637,6.3653564453125,1.3814105348681145
58,0.75,0.017898499965667725,6.1262617111206055,1.3640672859433811
59,1.25,0.02977408468723297,5.905625820159912,2.246093178120222
60,1.25,0.22381563857197762,5.736276149749756,2.2246307177569653
61,1.25,0.22333757393062115,6.004732131958008,2.2584626553871208
62,1.25,0.22194778360426426,6.268942356109619,2.290783910957339
63,1.25,0.21787767484784126,6.526618957519531,2.3214382618066898
64,1.25,0.20893442630767822,6.77134370803833,2.349809830814314
65,1.25,0.19684644788503647,6.991446018218994,2.3747457871532642
66,1.25,0.18675226718187332,7.179248332977295,2.39560976720995
67,1.25,0.1800127997994423,7.33946418762207,2.4131218407579897
68,1.25,0.1756187528371811,7.480278491973877,2.4283029984733293
69,1.25,0.1727224439382553,7.607522964477539,2.441857368662988
70,1.25,0.17080086469650269,7.724985599517822,2.4542355741463666
71,1.25,0.16948679089546204,7.835171699523926,2.4657328659574502
72,1.25,0.16850633174180984,7.939673900604248,2.4765374092409296
73,1.25,0.1676529198884964,8.039399147033691,2.486759571319623
74,1.25,0.16677113622426987,8.134736061096191,2.4964527861414796
75,1.25,0.16575616598129272,8.225683212280273,2.5056289970079373
76,1.25,0.16456878930330276,8.311979293823242,2.514273293765788
77,1.25,0.1632469743490219,8.393271446228027,2.5223615161102755
78,0.75,0.16188830882310867,8.469308853149414,1.517927725999944
79,0.75,0.0,8.37627124786377,1.5124046541422467
80,0.75,0.0,8.041220664978027,1.492167294413902
81,0.75,0.0,7.719572067260742,1.4722007273688478
82,0.75,0.0004426687955856323,7.4107890129089355,1.4525013059898533
83,0.75,0.00453948974609375,7.115000247955322,1.4331082193902236
84,0.75,0.006852209568023682,6.8369059562683105,1.4143761792644003
85,0.75,0.008711382746696472,6.573121547698975,1.3961301701744688
86,0.75,0.012042000889778137,6.322359085083008,1.378324213654673
87,0.75,0.01964709162712097,6.086062431335449,1.361107027872694
