,shock_0,shock_1,s_0,s_1,k_0,k_1,y_0,y_1
404,1,0,0.09979616403579714,0.09685238599777223,17.271528238151156,16.703630708188207,2.8208531383949147,1.8618009644615139
405,1,0,0.09967113733291627,0.09678343534469606,17.409149268774087,16.566165102843055,2.8275774581807656,1.8571910521625459
406,1,0,0.09966809749603273,0.09684051275253297,17.542430842443935,16.432654515106215,2.834054371606672,1.852688067448047
407,1,0,0.0997878670692444,0.09702354669570924,17.671979919043906,16.303337205974515,2.840316971802021,1.8483020294442412
408,1,0,0.10002855062484743,0.09732885360717775,17.798393429535416,16.178437365505584,2.846397090416003,1.8440426378219794
409,0,1,0.10038388967514039,0.09774820804595949,17.92224757511983,16.058153788089374,2.8523248640448102,1.8399188586935775
410,0,1,0.10066655874252321,0.09777234792709352,18.044079484445742,15.942647820450803,1.9054186268366988,2.7539077091313815
411,0,1,0.10024123191833498,0.09725368022918703,17.88728339898875,16.098014516848554,1.9004362392186456,2.761931736748821
412,0,1,0.09997880458831788,0.09690102338790894,17.734096192411798,16.24694307597176,1.8955389154855622,2.769572534448931
413,0,1,0.09985581636428835,0.09669177532196047,17.584865072648252,16.39028125378122,1.8907395079565192,2.776880353525123
414,0,1,0.09985148906707765,0.09660626649856568,17.43985466536311,16.52876919546831,1.8860484519358338,2.7838985233503775
415,0,1,0.09994622468948365,0.09662593603134156,17.29925709504763,16.663051904228094,1.8814740073776477,2.7906643870431407
416,0,1,0.10012096166610719,0.09673268795013429,17.163198342709276,16.793684122689868,1.8770223911884845,2.797209793406591
417,0,1,0.10035824775695802,0.09690964221954347,17.031742798307647,16.921133040418088,1.8726978591659567,2.8035614398307227
418,0,1,0.10064324140548707,0.0971418857574463,16.904901229984162,17.045784074268514,1.8685029088642129,2.8097413370270212
419,1,0,0.10096439123153687,0.09741772413253785,16.78264160529519,17.167949659664163,1.8644385888382056,2.8157673927944793
420,1,0,0.1015347719192505,0.09839226007461549,16.66490029110018,17.287884303309614,2.79075725167311,1.8811028491726518
421,1,0,0.10090863704681398,0.09781479835510255,16.826318156386556,17.137215692578618,2.7988393742833373,1.8761694753489147
422,1,0,0.1004121780395508,0.09736654758453371,16.98076800408223,16.98942660853644,2.806521959064301,1.8713008010848684
423,1,0,0.10004264116287233,0.09704654216766359,17.1289470671852,16.84480693774895,2.813846784914396,1.8665077534958454
424,1,0,0.09979616403579714,0.09685238599777223,17.27152680186828,16.70363403659684,2.8208530680211212,1.861801075757688
425,1,0,0.09967110157012941,0.09678343534469606,17.409147865904604,16.566168327680593,2.8275773898249454,1.8571911606210632
426,1,0,0.09966809749603273,0.09684051275253297,17.54242926551804,16.43265769770174,2.8340542951789427,1.8526881750938875
427,1,0,0.0997878670692444,0.09702354669570924,17.67197838025236,16.303340290339275,2.840316897605651,1.8483021343461492
428,1,0,0.10002855062484743,0.09732885360717775,17.79839192803015,16.17844035483905,2.8463970183778096,1.844042740040591
429,0,1,0.10038385391235354,0.09774820804595949,17.922246110052807,16.058156685497384,2.8523247940952037,1.8399189582877533
430,0,1,0.10066655874252321,0.09777234792709352,18.044077847931852,15.942650686584434,1.905418574992921,2.7539078576587857
431,0,1,0.10024123191833498,0.09725368022918703,17.8872818068638,16.098017303108996,1.9004361884720007,2.761931880160184
432,0,1,0.09997876882553101,0.09690102338790894,17.734094643530888,16.246945784299307,1.8955388658191326,2.7695726729533092
433,0,1,0.09985581636428835,0.0966917395591736,17.584863406976176,16.390283944837154,1.890739454228178,2.7768804903026405
434,0,1,0.09985148906707765,0.09660626649856568,17.4398531062818,16.528771603687158,1.8860484013533654,2.7838986450334224
435,0,1,0.09994622468948365,0.09662593603134156,17.29925557930788,16.663054245054788,1.8814739579219109,2.7906645046529532
436,0,1,0.10012099742889406,0.09673275947570802,17.163196869087052,16.79368639788695,1.8770223428404678,2.797209907095819
437,0,1,0.10035824775695802,0.09690964221954347,17.031741402140035,16.921135609793485,1.8726978131119467,2.8035615675420535
438,0,1,0.10064324140548707,0.0971418857574463,16.90489987135164,17.045786570618553,1.868502863813215,2.8097414604727518
439,1,0,0.10096439123153687,0.097417688369751,16.782640283171546,17.167952084980477,1.8644385447744913,2.8157675121295145
440,1,0,0.1015347719192505,0.09839226007461549,16.664899064741697,17.28788645122086,2.79075719006214,1.8811029192872195
441,1,0,0.10090863704681398,0.09781479835510255,16.82631696023418,17.13721777436123,2.7988393145940145,1.8761695437225094
442,1,0,0.1004121780395508,0.09736654758453371,16.98076683753794,16.98942862625965,2.806521901223591,1.871300867757517
443,1,0,0.10004264116287233,0.09704650640487672,17.12894592964063,16.844808893429082,2.8138467288535733,1.8665078185062427
444,1,0,0.09979619979858399,0.09685235023498537,17.271525752421876,16.703635774345106,2.8208530166012173,1.86180113386495
445,1,0,0.09967110157012941,0.09678347110748292,17.409147109018257,16.56616979653694,2.827577352945115,1.857191210021991
446,1,0,0.09966809749603273,0.09684051275253297,17.54242846740146,16.43265927869794,2.8340542564972,1.8526882285683695
447,1,0,0.0997878670692444,0.09702354669570924,17.671977601524194,16.303341822578798,2.8403168600574817,1.848302186458933
448,1,0,0.10002855062484743,0.09732885360717775,17.798391168256376,16.178441839908448,2.8463969819259014,1.8440427908217165
449,0,1,0.10038385391235354,0.09774820804595949,17.922245368799647,16.058158124936874,2.8523247587040794,1.8399190077663825
450,0,1,0.10066652297973634,0.09777234792709352,18.044077124767288,15.942652081888086,1.905418552083501,2.753907929965537
451,0,1,0.10024123191833498,0.09725368022918703,17.887280943953897,16.098018717932458,1.9004361609680136,2.76193195298243
452,0,1,0.09997876882553101,0.09690102338790894,17.73409380435077,16.246947159699776,1.8955388389099739,2.7695727432915405
453,0,1,0.09985581636428835,0.0966917395591736,17.584862590888243,16.39028528179336,1.8907394279042373,2.776880558255719
454,0,1,0.09985148906707765,0.09660626649856568,17.43985231265664,16.528772903174996,1.8860483756051758,2.783898710694242
455,0,1,0.09994622468948365,0.09662593603134156,17.29925480752616,16.663055508043154,1.881473932740124,2.790664568109088
456,0,1,0.10012099742889406,0.09673275947570802,17.163196118541077,16.793687625334268,1.8770223182158319,2.797209968430078
457,0,1,0.10035828351974489,0.09690964221954347,17.03174067223498,16.9211368026448,1.8726977890352847,2.803561626832968
458,0,1,0.10064327716827394,0.0971418857574463,16.904899318684958,17.04578767141036,1.8685028454872983,2.8097415149074405
