Wall time,Step,Value
1625621646.6869252,56320,14.33357048034668
1625621708.8481479,112640,14.296265602111816
1625621748.3070788,168960,14.262972831726074
1625621784.7145112,225280,14.249894142150879
1625621831.002681,281600,14.250563621520996
1625621876.766069,337920,14.2352933883667
1625621915.792106,394240,14.192070960998535
1625621955.775966,450560,14.068683624267578
1625622000.795669,506880,13.775890350341797
1625622042.306806,563200,13.288905143737793
1625622080.638721,619520,12.74207878112793
1625622122.701778,675840,12.0958890914917
1625622162.174776,732160,11.356005668640137
1625622201.913683,788480,9.63100528717041
1625622243.161671,844800,6.652347564697266
1625622281.735492,901120,4.299975395202637
1625622322.184534,957440,3.0188791751861572
1625622362.637878,1013760,1.7875787019729614
1625622404.811767,1070080,1.590766429901123
1625622443.411309,1126400,0.5538630485534668
1625622483.640142,1182720,0.39600056409835815
1625622522.761894,1239040,0.285158634185791
1625622560.072905,1295360,-0.6307174563407898
1625622604.065891,1351680,-1.744072437286377
1625622642.604316,1408000,-2.1164112091064453
1625622678.9667609,1464320,-3.1912105083465576
1625622721.460848,1520640,-3.4766523838043213
1625622759.798243,1576960,-4.369201183319092
1625622796.7982621,1633280,-4.317371845245361
1625622836.910646,1689600,-4.284691333770752
1625622876.096097,1745920,-4.313614845275879
1625622912.111698,1802240,-4.323565483093262
1625622951.826118,1858560,-4.317455768585205
1625622990.160479,1914880,-4.235637664794922
1625623026.393696,1971200,-4.1946001052856445
1625623066.62683,2027520,-4.1835808753967285
1625623109.914336,2083840,-4.138167381286621
1625623145.630958,2140160,-4.173830509185791
1625623182.4070022,2196480,-4.253345489501953
1625623220.259413,2252800,-4.193230628967285
1625623259.531213,2309120,-4.174081802368164
1625623297.567929,2365440,-4.237825870513916
1625623335.794646,2421760,-4.201410293579102
1625623373.077547,2478080,-4.143010139465332
1625623410.5682182,2534400,-4.043319225311279
1625623449.249994,2590720,-4.080646514892578
1625623487.0306938,2647040,-4.09225606918335
1625623523.151781,2703360,-4.15144681930542
1625623563.3323689,2759680,-4.125247478485107
1625623603.6524649,2816000,-4.141058444976807
1625623639.004961,2872320,-4.088499069213867
1625623684.6002119,2928640,-4.045073986053467
1625623724.495292,2984960,-3.9876134395599365
1625623766.8509948,3041280,-3.97023606300354
1625623811.52026,3097600,-3.976278781890869
1625623851.6929028,3153920,-4.00801944732666
1625623892.219604,3210240,-4.036745071411133
1625623939.536566,3266560,-4.054471015930176
1625623980.9199061,3322880,-4.053808212280273
1625624022.3468711,3379200,-4.031784534454346
1625624064.782484,3435520,-3.9511659145355225
1625624109.171148,3491840,-3.9153542518615723
1625624156.097431,3548160,-3.9039392471313477
1625624198.4641511,3604480,-3.8842551708221436
1625624241.733289,3660800,-3.862666606903076
1625624286.2722602,3717120,-3.848594903945923
1625624327.417404,3773440,-3.8510634899139404
1625624372.000584,3829760,-3.838090181350708
1625624421.625767,3886080,-3.7413458824157715
1625624465.0166059,3942400,-2.557546854019165
1625624511.847542,3998720,-1.1762481927871704
1625624554.529342,4055040,1.7125657796859741
1625624599.4812648,4111360,5.639143943786621
1625624649.78754,4167680,10.524946212768555
1625624692.043055,4224000,12.185552597045898
1625624736.51339,4280320,12.68150520324707
1625624792.962754,4336640,13.158577919006348
1625624832.102547,4392960,13.563480377197266
1625624885.105976,4449280,13.77910327911377
1625624935.5340228,4505600,13.863186836242676
1625624976.866941,4561920,13.932168960571289
1625625033.824071,4618240,13.947230339050293
1625625075.716627,4674560,13.934823989868164
1625625129.1151109,4730880,13.935961723327637
1625625172.779646,4787200,13.91458797454834
1625625220.577313,4843520,13.906929969787598
1625625272.8073852,4899840,13.892586708068848
1625625314.102995,4956160,13.852762222290039
1625625373.010317,5012480,13.64608097076416
1625625418.115194,5068800,13.500946044921875
1625625461.139159,5125120,13.571313858032227
1625625513.757396,5181440,13.721033096313477
1625625558.353249,5237760,13.763591766357422
1625625612.710059,5294080,13.66994857788086
1625625659.373888,5350400,13.515349388122559
1625625703.564769,5406720,13.380077362060547
1625625753.134776,5463040,13.401834487915039
1625625796.581238,5519360,13.556520462036133
1625625849.3209522,5575680,13.646219253540039
1625625899.983913,5632000,13.645339965820312
1625625941.9832342,5688320,13.492196083068848
1625625995.7543712,5744640,13.377581596374512
1625626045.0000262,5800960,13.240519523620605
1625626093.0593548,5857280,13.180466651916504
1625626138.546904,5913600,13.13644790649414
1625626187.279673,5969920,13.128827095031738
1625626242.496675,6026240,13.344884872436523
1625626286.619246,6082560,13.49420166015625
1625626341.02565,6138880,13.650782585144043
1625626391.051579,6195200,13.647299766540527
1625626442.557222,6251520,13.69725513458252
1625626494.597829,6307840,13.787755012512207
1625626539.905259,6364160,13.779132843017578
1625626599.3818061,6420480,13.72675609588623
1625626642.178266,6476800,13.795341491699219
1625626696.4650419,6533120,13.771778106689453
1625626747.241212,6589440,13.72702407836914
1625626792.0445518,6645760,13.69473934173584
1625626847.7198021,6702080,13.639267921447754
1625626891.198145,6758400,13.601408958435059
1625626955.976535,6814720,13.606022834777832
1625626998.8787751,6871040,13.6119966506958
1625627046.7665012,6927360,13.707637786865234
1625627104.767748,6983680,13.76942253112793
1625627149.3422039,7040000,13.795202255249023
1625627205.72784,7096320,13.717047691345215
1625627254.6696682,7152640,13.730249404907227
1625627311.993226,7208960,13.762944221496582
1625627360.248255,7265280,13.740407943725586
1625627423.22115,7321600,13.701384544372559
1625627472.2909389,7377920,13.701400756835938
1625627525.9387572,7434240,13.711723327636719
1625627575.761892,7490560,13.790693283081055
1625627631.720314,7546880,13.782301902770996
1625627689.988828,7603200,13.706260681152344
1625627734.776261,7659520,13.609044075012207
1625627796.1010828,7715840,13.585801124572754
1625627842.571842,7772160,13.61775016784668
1625627900.42724,7828480,13.706363677978516
1625627950.5606651,7884800,13.804279327392578
1625628005.791606,7941120,13.79590892791748
1625628055.9935338,7997440,13.708698272705078
1625628108.5328808,8053760,13.69579792022705
1625628167.1048489,8110080,13.59170913696289
1625628209.706115,8166400,13.52859115600586
1625628270.2558458,8222720,13.49566650390625
1625628322.018293,8279040,13.533477783203125
1625628375.908551,8335360,13.50495433807373
1625628433.171426,8391680,13.54377269744873
1625628488.750182,8448000,13.51658821105957
1625628535.757518,8504320,13.471765518188477
1625628592.482538,8560640,13.09138298034668
1625628646.549315,8616960,12.87893009185791
1625628692.16008,8673280,12.93202018737793
1625628753.758204,8729600,12.929676055908203
1625628800.452859,8785920,12.929295539855957
1625628867.358969,8842240,12.879846572875977
1625628913.031133,8898560,13.036402702331543
1625628962.655356,8954880,13.147758483886719
1625629023.5024698,9011200,13.46349811553955
1625629067.834777,9067520,13.503172874450684
1625629133.080888,9123840,13.578010559082031
1625629181.4714198,9180160,13.703948020935059
1625629238.409007,9236480,13.640196800231934
1625629285.5288699,9292800,13.541473388671875
1625629347.027599,9349120,13.536477088928223
1625629394.182784,9405440,13.617155075073242
1625629456.0857768,9461760,13.569198608398438
1625629499.555566,9518080,13.529134750366211
1625629553.368798,9574400,13.429121017456055
1625629612.912989,9630720,13.482823371887207
1625629655.9761899,9687040,13.520502090454102
1625629724.333921,9743360,13.520992279052734
1625629768.70739,9799680,13.540661811828613
1625629823.538083,9856000,13.392202377319336
1625629878.1045601,9912320,13.323182106018066
1625629934.82975,9968640,13.280252456665039
1625629981.0994828,10024960,13.316231727600098
1625630042.109675,10081280,13.394124984741211
1625630098.242848,10137600,13.420620918273926
1625630179.979504,10193920,13.479548454284668
1625630222.277683,10250240,13.523154258728027
1625630290.130235,10306560,13.568222999572754
1625630340.6860108,10362880,13.667791366577148
1625630403.1030688,10419200,13.681343078613281
1625630462.397556,10475520,13.741514205932617
1625630514.487102,10531840,13.812188148498535
1625630582.77217,10588160,13.83215045928955
1625630633.889236,10644480,13.833544731140137
1625630703.213121,10700800,13.895634651184082
1625630744.101512,10757120,13.897663116455078
1625630802.872397,10813440,13.86728572845459
1625630856.110466,10869760,13.907904624938965
1625630901.349431,10926080,13.946660041809082
1625630963.8450508,10982400,13.908576011657715
1625631019.75469,11038720,13.846294403076172
1625631072.0464919,11095040,13.808756828308105
1625631131.8431292,11151360,13.760679244995117
1625631177.972373,11207680,13.687146186828613
1625631245.439869,11264000,13.675424575805664
1625631297.998351,11320320,13.689861297607422
1625631346.246091,11376640,13.717741966247559
1625631418.250298,11432960,13.700610160827637
1625631464.254764,11489280,13.801162719726562
1625631528.378625,11545600,13.856947898864746
1625631580.2868621,11601920,13.822070121765137
1625631639.327589,11658240,13.836482048034668
1625631690.005111,11714560,13.862010955810547
1625631755.078868,11770880,13.855040550231934
1625631800.569452,11827200,13.887988090515137
1625631868.791585,11883520,13.888677597045898
1625631919.656422,11939840,13.884309768676758
1625631969.6199439,11996160,13.894986152648926
1625632033.259595,12052480,13.914751052856445
1625632084.1034722,12108800,13.875862121582031
1625632143.4185832,12165120,13.820398330688477
1625632191.917918,12221440,13.82784652709961
1625632255.191108,12277760,13.840991020202637
1625632304.431963,12334080,13.847763061523438
1625632362.8199282,12390400,13.86115837097168
1625632416.2081559,12446720,13.865886688232422
1625632477.488962,12503040,13.929883003234863
1625632531.596092,12559360,13.946910858154297
1625632598.322057,12615680,13.946606636047363
1625632640.41501,12672000,13.95224380493164
1625632709.173333,12728320,13.944141387939453
1625632756.878977,12784640,13.95432186126709
1625632826.59446,12840960,13.949384689331055
1625632873.3246531,12897280,13.9409818649292
1625632940.976966,12953600,13.942227363586426
1625632990.486149,13009920,13.951030731201172
1625633053.200005,13066240,13.949932098388672
1625633109.7821078,13122560,13.934650421142578
1625633159.795254,13178880,13.924415588378906
1625633220.632108,13235200,13.937285423278809
1625633272.3166962,13291520,13.876688003540039
1625633324.544657,13347840,13.879130363464355
1625633382.208838,13404160,13.903107643127441
1625633440.1283278,13460480,13.9107084274292
1625633498.4035761,13516800,13.94792366027832
1625633554.357641,13573120,13.953320503234863
1625633613.4898171,13629440,13.951169967651367
1625633663.9703732,13685760,13.953001976013184
1625633726.341353,13742080,13.939634323120117
1625633790.395072,13798400,13.883081436157227
1625633837.441565,13854720,13.886785507202148
1625633904.764868,13911040,13.894020080566406
1625633955.416409,13967360,13.877732276916504
1625634021.983863,14023680,13.882400512695312
1625634071.0998871,14080000,13.907054901123047
1625634130.498204,14136320,13.901517868041992
1625634186.8931022,14192640,13.880824089050293
1625634241.230346,14248960,13.851197242736816
1625634303.0497642,14305280,13.853367805480957
1625634353.410611,14361600,13.863595962524414
1625634416.781635,14417920,13.816367149353027
1625634473.459639,14474240,13.777474403381348
1625634534.152138,14530560,13.743074417114258
1625634585.82781,14586880,13.771665573120117
1625634649.5942771,14643200,13.687054634094238
1625634709.039596,14699520,13.631031036376953
1625634768.9685252,14755840,13.647429466247559
1625634838.156208,14812160,13.717592239379883
1625634882.013045,14868480,13.786232948303223
1625634949.2204428,14924800,13.814779281616211
1625635009.183636,14981120,13.821974754333496
1625635054.074107,15037440,13.797370910644531
1625635132.309223,15093760,13.866981506347656
1625635175.259423,15150080,13.943992614746094
1625635245.2750778,15206400,13.944518089294434
1625635292.394227,15262720,13.93346118927002
1625635353.8880599,15319040,13.93500804901123
1625635401.3568609,15375360,13.933923721313477
1625635470.2078662,15431680,13.924019813537598
1625635517.26194,15488000,13.934152603149414
1625635582.37825,15544320,13.938735961914062
1625635634.635683,15600640,13.939546585083008
1625635697.5508218,15656960,13.899621963500977
1625635745.9673028,15713280,13.92426586151123
1625635807.6720698,15769600,13.928424835205078
1625635870.6517918,15825920,13.89412784576416
1625635932.167064,15882240,13.867554664611816
1625635990.9898372,15938560,13.854231834411621
1625636046.8048131,15994880,13.83518123626709
1625636110.5926661,16051200,13.874981880187988
1625636162.41596,16107520,13.883909225463867
1625636228.3373718,16163840,13.853946685791016
1625636285.4671519,16220160,13.800524711608887
1625636340.8719308,16276480,13.795742988586426
1625636408.45431,16332800,13.818103790283203
1625636462.019285,16389120,13.813949584960938
1625636516.941052,16445440,13.80803394317627
1625636582.18174,16501760,13.83659839630127
1625636632.262534,16558080,13.850228309631348
1625636698.642046,16614400,13.862674713134766
1625636748.39209,16670720,13.893996238708496
1625636819.503663,16727040,13.912829399108887
1625636862.900191,16783360,13.88644027709961
1625636933.1436312,16839680,13.874950408935547
1625636976.951221,16896000,13.905990600585938
1625637049.875941,16952320,13.900108337402344
1625637094.669017,17008640,13.893004417419434
1625637159.643596,17064960,13.906768798828125
1625637213.211185,17121280,13.92558479309082
1625637268.63303,17177600,13.94163990020752
1625637329.390462,17233920,13.949299812316895
1625637384.78638,17290240,13.948766708374023
1625637441.352439,17346560,13.951184272766113
1625637506.038671,17402880,13.952808380126953
1625637557.170662,17459200,13.95425033569336
1625637629.992042,17515520,13.954304695129395
1625637676.3455229,17571840,13.954251289367676
1625637744.937396,17628160,13.947016716003418
1625637792.7208052,17684480,13.906740188598633
1625637857.390891,17740800,13.901857376098633
1625637903.882405,17797120,13.927907943725586
1625637976.214009,17853440,13.930754661560059
1625638026.022014,17909760,13.933143615722656
1625638094.8660328,17966080,13.934158325195312
1625638142.457927,18022400,13.899145126342773
1625638203.992147,18078720,13.896570205688477
1625638262.5173812,18135040,13.905174255371094
1625638335.2692218,18191360,13.914880752563477
1625638390.9241679,18247680,13.89184284210205
1625638459.8040938,18304000,13.871505737304688
1625638510.1982222,18360320,13.8678617477417
1625638574.574652,18416640,13.902475357055664
1625638628.72986,18472960,13.941357612609863
1625638685.393591,18529280,13.885581016540527
1625638737.270733,18585600,13.893119812011719
1625638797.6581252,18641920,13.95413589477539
1625638859.363223,18698240,13.95306396484375
1625638906.407066,18754560,13.952569007873535
1625638977.9526029,18810880,13.954243659973145
1625639025.640098,18867200,13.944064140319824
1625639095.456165,18923520,13.945284843444824
1625639146.554924,18979840,13.95240306854248
1625639202.0790558,19036160,13.953694343566895
1625639258.2427049,19092480,13.95141887664795
1625639317.010345,19148800,13.910324096679688
1625639373.970169,19205120,13.931668281555176
1625639428.214654,19261440,13.952192306518555
1625639486.140301,19317760,13.95275592803955
1625639540.132993,19374080,13.953075408935547
1625639598.407466,19430400,13.948328018188477
1625639647.972971,19486720,13.933783531188965
1625639704.101162,19543040,13.920258522033691
1625639762.607628,19599360,13.954328536987305
1625639813.631721,19655680,13.952625274658203
1625639870.01888,19712000,13.952406883239746
1625639927.988784,19768320,13.949195861816406
1625639982.49608,19824640,13.946696281433105
1625640041.372195,19880960,13.9428071975708
1625640092.925869,19937280,13.945708274841309
1625640152.44046,19993600,13.945882797241211
1625640211.8983831,20049920,13.938407897949219
1625640258.021814,20106240,13.93265151977539
1625640314.6369221,20162560,13.945083618164062
1625640368.872426,20218880,13.949139595031738
1625640426.123654,20275200,13.948875427246094
1625640471.4942248,20331520,13.937055587768555
1625640524.880801,20387840,13.940791130065918
1625640576.0079029,20444160,13.94168758392334
1625640628.080965,20500480,13.947373390197754
1625640685.1171541,20556800,13.950757026672363
1625640741.071872,20613120,13.953633308410645
1625640789.064252,20669440,13.954087257385254
1625640847.3204741,20725760,13.950990676879883
1625640897.070066,20782080,13.943589210510254
1625640955.653353,20838400,13.936039924621582
1625641007.401246,20894720,13.941779136657715
1625641050.769343,20951040,13.939187049865723
1625641109.882894,21007360,13.941553115844727
1625641158.821174,21063680,13.922917366027832
1625641218.0559502,21120000,13.945713996887207
1625641262.4386728,21176320,13.940646171569824
1625641314.031855,21232640,13.94584846496582
1625641369.1730812,21288960,13.951384544372559
1625641416.67897,21345280,13.940971374511719
1625641472.580556,21401600,13.927181243896484
1625641516.481257,21457920,13.947522163391113
1625641573.782472,21514240,13.949512481689453
1625641625.415116,21570560,13.950225830078125
1625641675.092988,21626880,13.946295738220215
1625641731.748972,21683200,13.950913429260254
1625641777.943413,21739520,13.95260238647461
1625641832.8892171,21795840,13.941523551940918
1625641888.876784,21852160,13.943748474121094
1625641946.7959528,21908480,13.954032897949219
1625641992.413184,21964800,13.954272270202637
1625642057.383017,22021120,13.954060554504395
1625642101.2403488,22077440,13.94971752166748
1625642165.4163158,22133760,13.953460693359375
1625642212.966659,22190080,13.95058536529541
1625642258.478558,22246400,13.952322959899902
1625642320.221066,22302720,13.953449249267578
1625642365.286519,22359040,13.954320907592773
1625642424.0043368,22415360,13.954349517822266
1625642470.646154,22471680,13.954337120056152
1625642522.735807,22528000,13.953285217285156
1625642576.9615092,22584320,13.948493003845215
1625642625.906765,22640640,13.940513610839844
1625642684.48477,22696960,13.92833137512207
1625642732.56767,22753280,13.91121768951416
1625642792.838731,22809600,13.882373809814453
1625642836.4149508,22865920,13.896955490112305
1625642896.542921,22922240,13.908263206481934
1625642946.115595,22978560,13.897993087768555
1625642994.057506,23034880,13.885224342346191
1625643051.680973,23091200,13.875513076782227
1625643099.280527,23147520,13.87390422821045
1625643161.1094909,23203840,13.857502937316895
1625643204.162555,23260160,13.862044334411621
1625643251.063138,23316480,13.856535911560059
1625643316.355215,23372800,13.849994659423828
1625643362.230995,23429120,13.817352294921875
1625643408.0790899,23485440,13.819982528686523
1625643464.2881238,23541760,13.837647438049316
1625643517.120752,23598080,13.78218936920166
1625643563.449558,23654400,13.764016151428223
1625643617.8868039,23710720,13.78136157989502
1625643668.598188,23767040,13.84221363067627
1625643720.626328,23823360,13.88099479675293
1625643768.9700658,23879680,13.882123947143555
1625643817.121057,23936000,13.894004821777344
1625643871.3767622,23992320,13.903005599975586
1625643918.913898,24048640,13.90167236328125
1625643971.825011,24104960,13.893533706665039
1625644025.458563,24161280,13.922404289245605
1625644070.440903,24217600,13.924705505371094
1625644126.8100102,24273920,13.930185317993164
1625644169.796702,24330240,13.93860149383545
1625644222.188628,24386560,13.94021987915039
1625644265.594151,24442880,13.947433471679688
1625644320.4280121,24499200,13.951977729797363
1625644372.9203231,24555520,13.95195484161377
1625644418.259049,24611840,13.95297622680664
1625644470.5030558,24668160,13.954018592834473
1625644518.413897,24724480,13.954339027404785
1625644569.2022169,24780800,13.954309463500977
1625644617.8223538,24837120,13.95386028289795
1625644661.8644621,24893440,13.953999519348145
1625644719.912731,24949760,13.950490951538086
1625644763.274879,25006080,13.94119644165039
1625644814.6799061,25062400,13.943641662597656
1625644865.797607,25118720,13.946635246276855
1625644916.1785018,25175040,13.94704818725586
1625644959.922635,25231360,13.949437141418457
1625645011.5387762,25287680,13.95096492767334
1625645066.572619,25344000,13.947480201721191
1625645109.603532,25400320,13.94755744934082
1625645157.307402,25456640,13.944862365722656
1625645210.189939,25512960,13.950034141540527
1625645259.889483,25569280,13.953834533691406
1625645307.845092,25625600,13.94982624053955
1625645358.6134899,25681920,13.947870254516602
1625645403.408439,25738240,13.95433521270752
1625645454.151708,25794560,13.952960968017578
1625645503.8489149,25850880,13.95398998260498
1625645556.86196,25907200,13.954073905944824
1625645605.7907252,25963520,13.952857971191406
1625645652.0093608,26019840,13.947818756103516
1625645710.643958,26076160,13.951123237609863
1625645762.8967109,26132480,13.95079517364502
1625645806.04267,26188800,13.947884559631348
1625645854.697823,26245120,13.945518493652344
1625645921.055542,26301440,13.94443416595459
1625645961.8106198,26357760,13.933124542236328
1625646011.5913558,26414080,13.93524169921875
1625646064.83022,26470400,13.943831443786621
1625646113.3843148,26526720,13.945640563964844
1625646161.1494038,26583040,13.937166213989258
1625646221.495829,26639360,13.94794750213623
1625646266.745216,26695680,13.95432186126709
1625646309.634636,26752000,13.952072143554688
1625646371.807908,26808320,13.953959465026855
1625646416.441184,26864640,13.949492454528809
1625646462.83234,26920960,13.941625595092773
1625646516.7834592,26977280,13.937421798706055
1625646561.847533,27033600,13.936576843261719
1625646615.464757,27089920,13.951908111572266
1625646663.658292,27146240,13.9535493850708
1625646710.97074,27202560,13.951451301574707
1625646761.130402,27258880,13.941880226135254
1625646813.2538729,27315200,13.917723655700684
1625646864.911753,27371520,13.90213680267334
1625646909.836212,27427840,13.888182640075684
1625646955.645621,27484160,13.853650093078613
1625647010.694409,27540480,13.869242668151855
1625647062.337685,27596800,13.897974014282227
1625647112.170822,27653120,13.912220001220703
1625647159.989413,27709440,13.93161678314209
1625647213.2863822,27765760,13.925536155700684
1625647257.0508769,27822080,13.93009090423584
1625647307.688501,27878400,13.91662883758545
1625647356.342248,27934720,13.914876937866211
1625647402.2393448,27991040,13.925897598266602
1625647460.433593,28047360,13.93398666381836
1625647502.830994,28103680,13.939628601074219
1625647556.12906,28160000,13.944947242736816
1625647614.534493,28216320,13.94749641418457
1625647654.943818,28272640,13.949191093444824
1625647709.711793,28328960,13.95033073425293
1625647757.377614,28385280,13.952518463134766
1625647802.213403,28441600,13.95373821258545
1625647854.403604,28497920,13.95426082611084
1625647897.1857579,28554240,13.954331398010254
1625647944.707603,28610560,13.953064918518066
1625647992.2677372,28666880,13.951350212097168
1625648040.202352,28723200,13.947977066040039
1625648087.918305,28779520,13.947778701782227
1625648130.945617,28835840,13.949746131896973
1625648184.685462,28892160,13.946101188659668
1625648229.9438632,28948480,13.944059371948242
1625648275.286693,29004800,13.945401191711426
1625648330.615586,29061120,13.94930362701416
1625648372.001055,29117440,13.952466011047363
1625648417.6316211,29173760,13.942192077636719
1625648470.743223,29230080,13.92921257019043
1625648512.786672,29286400,13.9186429977417
1625648558.343232,29342720,13.937862396240234
1625648610.7473679,29399040,13.953776359558105
1625648658.6515992,29455360,13.953028678894043
1625648702.127659,29511680,13.95217514038086
1625648751.501421,29568000,13.95116138458252
1625648803.284862,29624320,13.933487892150879
1625648846.258163,29680640,13.920818328857422
1625648897.8308349,29736960,13.93139362335205
1625648940.4024892,29793280,13.929691314697266
1625648985.376118,29849600,13.931241035461426
1625649034.4225621,29905920,13.92560863494873
1625649078.986689,29962240,13.933876991271973
1625649126.291085,30018560,13.922420501708984
1625649179.770802,30074880,13.937809944152832
1625649226.3005672,30131200,13.940321922302246
1625649272.713185,30187520,13.936811447143555
1625649319.490679,30243840,13.919498443603516
1625649377.3588538,30300160,13.914161682128906
1625649424.744863,30356480,13.91469955444336
1625649469.381623,30412800,13.919462203979492
1625649522.509129,30469120,13.92209529876709
1625649567.236707,30525440,13.922396659851074
1625649614.892548,30581760,13.92286205291748
1625649670.391925,30638080,13.930338859558105
1625649715.104544,30694400,13.927002906799316
1625649764.157575,30750720,13.918316841125488
1625649809.1552,30807040,13.91807746887207
1625649865.877144,30863360,13.930549621582031
1625649907.686569,30919680,13.921287536621094
1625649965.005674,30976000,13.904712677001953
1625650011.472013,31032320,13.904093742370605
1625650058.0144901,31088640,13.929350852966309
1625650108.90333,31144960,13.94725513458252
1625650155.0958889,31201280,13.950104713439941
1625650204.977477,31257600,13.952248573303223
1625650253.158966,31313920,13.950047492980957
1625650298.69411,31370240,13.944391250610352
1625650345.856894,31426560,13.941612243652344
1625650394.334079,31482880,13.943403244018555
1625650444.058761,31539200,13.946284294128418
1625650488.9892852,31595520,13.950567245483398
1625650538.105865,31651840,13.954267501831055
1625650586.271162,31708160,13.953493118286133
1625650631.661508,31764480,13.950970649719238
1625650684.050263,31820800,13.946533203125
1625650736.00704,31877120,13.939909934997559
1625650778.6534898,31933440,13.934083938598633
1625650824.642863,31989760,13.935723304748535
1625650869.522041,32046080,13.937853813171387
1625650931.726897,32102400,13.942937850952148
1625650972.9397812,32158720,13.949736595153809
1625651016.795142,32215040,13.949983596801758
1625651072.043173,32271360,13.952797889709473
1625651115.728878,32327680,13.951571464538574
1625651165.2724822,32384000,13.946942329406738
1625651214.8578172,32440320,13.945871353149414
1625651261.378067,32496640,13.947781562805176
1625651312.213666,32552960,13.949258804321289
1625651357.521913,32609280,13.94471549987793
1625651407.67803,32665600,13.93600082397461
1625651450.152098,32721920,13.927634239196777
1625651499.3124962,32778240,13.918279647827148
1625651551.4544508,32834560,13.913164138793945
1625651593.540961,32890880,13.903879165649414
1625651642.2189639,32947200,13.905640602111816
1625651690.2018251,33003520,13.912796020507812
1625651732.0419462,33059840,13.920085906982422
1625651782.8499851,33116160,13.933754920959473
1625651826.4649532,33172480,13.927245140075684
1625651872.482769,33228800,13.92278003692627
1625651921.3389928,33285120,13.933691024780273
1625651968.150223,33341440,13.943220138549805
1625652012.330085,33397760,13.945637702941895
1625652059.465218,33454080,13.942776679992676
1625652109.5789828,33510400,13.938590049743652
1625652153.876655,33566720,13.929242134094238
1625652202.63306,33623040,13.915182113647461
1625652253.472856,33679360,13.89751148223877
1625652293.825771,33735680,13.876154899597168
1625652341.721594,33792000,13.866105079650879
1625652398.1980731,33848320,13.857340812683105
1625652438.263081,33904640,13.857954025268555
1625652489.645526,33960960,13.839694023132324
1625652540.0096052,34017280,13.794849395751953
1625652581.033673,34073600,13.770163536071777
1625652630.63449,34129920,13.757485389709473
1625652676.0055602,34186240,13.746393203735352
1625652722.72621,34242560,13.733284950256348
1625652773.030043,34298880,13.724379539489746
1625652821.5459578,34355200,13.716522216796875
1625652865.963119,34411520,13.679710388183594
1625652912.851281,34467840,13.688278198242188
1625652965.083303,34524160,13.697556495666504
1625653015.543582,34580480,13.67544174194336
1625653061.676312,34636800,13.698882102966309
1625653107.9500449,34693120,13.72821044921875
1625653152.863359,34749440,13.736770629882812
1625653208.550051,34805760,13.771714210510254
1625653254.153244,34862080,13.799155235290527
1625653300.7823548,34918400,13.815707206726074
1625653355.949816,34974720,13.794756889343262
1625653399.741399,35031040,13.752142906188965
1625653451.836812,35087360,13.764404296875
1625653494.8944771,35143680,13.808816909790039
1625653546.0970318,35200000,13.831832885742188
1625653597.951534,35256320,13.848484992980957
1625653643.796562,35312640,13.846512794494629
