Wall time,Step,Value
1625621646.69055,56320,0.14029158651828766
1625621708.8544698,112640,0.16353198885917664
1625621748.310227,168960,0.18436498939990997
1625621784.72131,225280,0.1998986005783081
1625621831.007583,281600,0.2087499499320984
1625621876.774202,337920,0.21154198050498962
1625621915.797259,394240,0.20835639536380768
1625621955.781235,450560,0.19897939264774323
1625622000.802808,506880,0.20014771819114685
1625622042.312449,563200,0.21737271547317505
1625622080.644864,619520,0.21474745869636536
1625622122.705973,675840,0.21434175968170166
1625622162.178773,732160,0.23152244091033936
1625622201.918171,788480,0.2525850236415863
1625622243.16532,844800,0.2612692415714264
1625622281.7392871,901120,0.24742907285690308
1625622322.1896262,957440,0.2396264374256134
1625622362.64465,1013760,0.24568939208984375
1625622404.817985,1070080,0.24006207287311554
1625622443.4150531,1126400,0.22909735143184662
1625622483.644143,1182720,0.22151106595993042
1625622522.766439,1239040,0.2058437019586563
1625622560.076993,1295360,0.17752373218536377
1625622604.071171,1351680,0.15875765681266785
1625622642.609369,1408000,0.145049586892128
1625622678.973529,1464320,0.1469300240278244
1625622721.467413,1520640,0.1438903510570526
1625622759.802923,1576960,0.13314937055110931
1625622796.8050141,1633280,0.11566602438688278
1625622836.9142551,1689600,0.10868515819311142
1625622876.099895,1745920,0.11448802798986435
1625622912.116724,1802240,0.11647364497184753
1625622951.832057,1858560,0.11523773521184921
1625622990.164892,1914880,0.0987296849489212
1625623026.3992078,1971200,0.09044106304645538
1625623066.632707,2027520,0.08819882571697235
1625623109.920361,2083840,0.07902362942695618
1625623145.637473,2140160,0.08619198203086853
1625623182.413787,2196480,0.10219854861497879
1625623220.2636118,2252800,0.09006962925195694
1625623259.535274,2309120,0.08619760721921921
1625623297.573788,2365440,0.09903337061405182
1625623335.798445,2421760,0.09168536961078644
1625623373.08272,2478080,0.07991869747638702
1625623410.572962,2534400,0.059822581708431244
1625623449.255996,2590720,0.06734786927700043
1625623487.034612,2647040,0.06968871504068375
1625623523.157325,2703360,0.08163914829492569
