,shock_0,s_0,k_0,y_0,c_0
0,1,0.09557168483734133,23.070843176993726,3.0768072212187065,2.7827515711671365
1,1,0.09548310041427614,23.2325474161495,3.0832610434391126,2.78886171962499
2,1,0.09539905786514284,23.38841707057574,3.08945230504882,2.7947214658278687
3,1,0.09531919956207277,23.5386627586189,3.09539289979311,2.8003425262547075
4,1,0.09524327516555788,23.683487038636997,3.1010940654172194,2.8057357100304086
5,1,0.0951711416244507,23.82308519170872,3.106566446425373,2.8109109711868574
6,1,0.09510247707366945,23.9576459912609,3.1118201526685203,2.8158783479419798
7,1,0.09503717422485353,24.08735082201134,3.1168647506129514,2.820646732273644
8,1,0.09497491121292116,24.212375081745776,3.1217093414154067,2.825225273881932
9,0,0.09491565227508546,24.332887089534136,3.126362539653932,2.8296217999542863
10,0,0.0923328995704651,24.449049902569357,2.0872217085749494,1.894502476175804
11,0,0.09237735271453859,24.349083880031714,2.084657798650091,1.892082629895078
12,0,0.09242062568664552,24.252788272340883,2.0821810498803788,1.8897445744575576
13,0,0.09246275424957277,24.160028382291035,2.0797887229196355,1.8874857293412846
14,0,0.09250370264053347,24.07067455148952,2.0774781525663015,1.8853037312991037
15,0,0.0925434708595276,23.98460163133601,2.0752467378239294,1.8831962018157908
16,0,0.09258213043212891,23.9016889826345,2.073091945358482,1.881160676475507
17,0,0.09261964559555055,23.821820644700548,2.071011317234577,1.8791949830079362
18,0,0.09265608787536622,23.74488465276903,2.0690024563073144,1.8772967829013554
19,1,0.09269145727157595,23.670773395567682,2.0670630384855095,1.8754639531760762
20,1,0.09528722763061524,23.599383115208116,3.0977862037107196,2.8026067445667566
21,1,0.0952129125595093,23.742016200550612,3.1033912059808992,2.80790829044789
22,1,0.09514224529266359,23.879502357638106,3.1087716847328353,2.812996166545097
23,1,0.09507497549057008,24.01202721999636,3.1139375184620692,2.8178799852151215
24,1,0.09501096010208131,24.13976951496832,3.118898071190001,2.82256857098571
25,1,0.09494994878768923,24.26290184003841,3.1236622450683327,2.827070674869056
26,1,0.09489187002182008,24.381590192060045,3.128238482397396,2.8313940829284863
27,1,0.09483647346496583,24.495995156869128,3.1326348299841587,2.8355467900549383
28,1,0.09478365182876589,24.60627101405255,3.1368589213095697,2.839535977476205
29,0,0.09473326206207276,24.71256672239767,3.1409180296668935,2.8433686188469705
30,0,0.09217368364334108,24.815025850852933,2.096546052836296,1.9032996802184676
31,0,0.0922224283218384,24.70162075088091,2.09366706772821,1.9005840066448518
32,0,0.09226984977722169,24.59238027436202,2.090885046761306,1.8979593975952014
33,0,0.09231605529785157,24.487151110918358,2.0881969898006867,1.8954228810174392
34,0,0.09236100912094118,24.385786034875494,2.085599983209815,1.8929718641379387
35,0,0.0924047112464905,24.288142994114423,2.083091181149148,1.8906037420549502
36,0,0.09244723320007325,24.1940850836607,2.0806678091245376,1.8883158269625162
37,0,0.09248861074447633,24.103480690213893,2.0783271717829943,1.8861055789922885
38,0,0.09252880811691286,24.016203122824795,2.076066647276653,1.883970674832869
39,1,0.09256786108016969,23.93213008869133,2.07388367729231,1.881908701156284
40,1,0.09515676498413088,23.85114386639614,3.1076636623604017,2.8119484415914497
41,1,0.09508877992630006,23.98469219184362,3.112873632782257,2.8168742769762427
42,1,0.09502408504486086,24.113420960815972,3.117876397785149,2.821603045802649
43,1,0.09496250152587891,24.23750407807494,3.1226809554402886,2.826143360444457
44,1,0.0949037790298462,24.357109226656615,3.127295854465832,2.8305036597326527
45,1,0.09484788179397584,24.472397608228285,3.1317292030866444,2.83469132182154
46,1,0.09479448795318605,24.58352533899172,3.1359887398424426,2.838714293022121
47,1,0.09474363327026368,24.690641929963874,3.1400817907100196,2.8425790330923566
48,1,0.09469499588012696,24.79389252002511,3.1440153687689585,2.846292846376326
49,0,0.09464861154556276,24.89341592631382,3.1477961125361653,2.849861581056097
50,0,0.09209986925125123,24.989346878740903,2.1009535885468864,1.907456037738771
51,0,0.0921505093574524,24.869540133707222,2.097926715546469,1.9046017001142548
52,0,0.09219982624053956,24.75413334135329,2.095001338580445,1.90184257918963
53,0,0.09224785566329957,24.64296461609037,2.0921743484254063,1.8991757511094016
54,0,0.09229459762573243,24.535878144030864,2.0894427148343167,1.8965984402066653
55,0,0.09234012365341188,24.432723781186937,2.086803481253765,1.894107789754422
56,0,0.09238439798355104,24.333357177703462,2.0842537726893986,1.8917012426545434
57,0,0.09242752790451052,24.237639048228843,2.0817907814429435,1.889376005899773
58,0,0.0924694061279297,24.14543565897036,2.0794117837982675,1.887129811055023
59,1,0.09251017570495607,24.056617600326813,2.077114112333813,1.884959920842568
60,1,0.09509568214416506,23.971060810025588,3.1123427790353513,2.8163724193965183
61,1,0.09503062963485719,24.100281536892137,3.117366620488115,2.8211213077404427
62,1,0.09496876001358033,24.22483871653106,3.1221913367232395,2.8256806969494903
63,1,0.09490978717803956,24.344900978696334,3.1268255338415982,2.830059187881832
64,1,0.09485353231430055,24.460630241613128,3.1312773665728444,2.8342646476975895
65,1,0.09479995965957642,24.572182497541824,3.1355545860531575,2.838304137784918
66,1,0.09474878311157228,24.679708785721736,3.139664592697205,2.8421851931606543
67,1,0.09469993114471437,24.783353876274823,3.14361440000269,2.845914332776903
68,1,0.0946532964706421,24.88325767369027,3.147410701274332,2.8494979030517413
69,0,0.09460880756378175,24.979555138874883,3.1510598783062886,2.8529418606576553
70,0,0.0920651435852051,25.072376628640804,2.1030453499600563,1.9094281778497857
71,0,0.09211664199829103,24.949520590153124,2.0999485214687605,1.906508315301782
